tool	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set	PAYNT-CEGIS.Benchmarks	PAYNT-CEGIS.Benchmarks	PAYNT-CEGIS.Benchmarks	PAYNT-CEGIS.Benchmarks	PAYNT-CEGIS.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks
benchmarks/files/benchmark-q2-tree/	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
benchmark-q2-tree-sat_drone-4-1_1.yml	false	0.771765	1.510833915323019	147.816448	4	false	0.806371	1.6310321195051074	155.852800	5	TIMEOUT	1800.621116	1801.3417190406471	440.172544	
benchmark-q2-tree-sat_drone-4-1_11.yml	TIMEOUT	1800.611571	1801.4116303371266	267.816960		TIMEOUT	1800.822238	1801.7491087513044	2694.803456		TIMEOUT	1800.618555	1801.3877389393747	460.062720	
benchmark-q2-tree-sat_drone-4-1_13.yml	TIMEOUT	1800.596631	1801.424308818765	295.399424		TIMEOUT	1800.729621	1801.6217688946053	2785.095680		TIMEOUT	1800.618678	1801.3457635119557	477.728768	
benchmark-q2-tree-sat_drone-4-1_15.yml	TIMEOUT	1800.61194	1801.4127760762349	327.458816		TIMEOUT	1800.772602	1801.636493369937	2733.592576		TIMEOUT	1800.619202	1801.3991504609585	490.614784	
benchmark-q2-tree-sat_drone-4-1_3.yml	false	4.070727	4.8325937278568745	152.608768	92	false	14.166764	15.041832264512777	169.562112	2221	TIMEOUT	1800.606592	1801.4369024047628	303.714304	
benchmark-q2-tree-sat_drone-4-1_5.yml	false	417.783947	418.5285438261926	185.303040	2588	false	418.557499	419.39498696662486	652.914688	68355	TIMEOUT	1800.644605	1801.4901402173564	473.989120	
benchmark-q2-tree-sat_drone-4-1_7.yml	TIMEOUT	1800.60638	1801.385206992738	249.090048		TIMEOUT	1800.690386	1801.5865063061938	1345.310720		TIMEOUT	1800.616676	1801.4201730815694	378.171392	
benchmark-q2-tree-sat_drone-4-1_9.yml	TIMEOUT	1800.610656	1801.3682488529012	246.538240		TIMEOUT	1800.754912	1801.6588466968387	3463.888896		TIMEOUT	1800.614851	1801.4093408333138	467.054592	
benchmark-q2-tree-sat_drone-4-2_1.yml	false	1.678108	2.3887738091871142	148.582400	4	false	0.982261	1.8025259217247367	157.065216	5	TIMEOUT	1800.62279	1801.4381651375443	482.828288	
benchmark-q2-tree-sat_drone-4-2_11.yml	TIMEOUT	1800.614545	1801.3954017581418	374.702080		TIMEOUT	1800.821621	1801.7779492000118	4132.241408		TIMEOUT	1800.685506	1801.5638699857518	590.974976	
benchmark-q2-tree-sat_drone-4-2_13.yml	TIMEOUT	1800.621306	1801.3621080098674	425.926656		TIMEOUT	1800.867275	1801.77826843597	3318.161408		TIMEOUT	1800.657275	1801.50839917548	633.397248	
benchmark-q2-tree-sat_drone-4-2_15.yml	TIMEOUT	1800.623046	1801.383904993534	449.531904		TIMEOUT	1800.756631	1801.5785651300102	3873.841152		TIMEOUT	1800.683969	1801.572704911232	744.095744	
benchmark-q2-tree-sat_drone-4-2_3.yml	false	10.653766	11.333521336317062	188.223488	112	false	603.521232	604.3962629633024	1604.579328	111811	TIMEOUT	1800.643944	1801.5159846013412	344.936448	
benchmark-q2-tree-sat_drone-4-2_5.yml	TIMEOUT	1800.608232	1801.3593749608845	252.248064		TIMEOUT	1800.894213	1801.779808068648	3658.842112		TIMEOUT	1800.63539	1801.4982262179255	405.479424	
benchmark-q2-tree-sat_drone-4-2_7.yml	TIMEOUT	1800.610703	1801.3341780360788	308.113408		TIMEOUT	1800.792589	1801.933123412542	5508.636672		TIMEOUT	1800.662597	1801.5361668486148	480.555008	
benchmark-q2-tree-sat_drone-4-2_9.yml	TIMEOUT	1800.619307	1801.3115072306246	354.992128		TIMEOUT	1800.682304	1801.9099175380543	3414.568960		TIMEOUT	1800.666627	1801.566556211561	551.460864	
benchmark-q2-tree-sat_drone-8-2_1.yml	false	6.29166	6.9469252256676555	196.857856	4	false	3.219327	3.9496259121224284	219.234304	5	TIMEOUT	1800.71851	1801.590419480577	906.080256	
benchmark-q2-tree-sat_drone-8-2_11.yml	TIMEOUT	1800.691641	1801.305705729872	1334.751232		TIMEOUT	1800.723464	1801.4873552080244	1901.076480		TIMEOUT	1800.696635	1801.608100488782	963.694592	
benchmark-q2-tree-sat_drone-8-2_13.yml	TIMEOUT	1800.656038	1801.2919142162427	981.798912		TIMEOUT	1800.726832	1801.4638238530606	1552.551936		TIMEOUT	1800.723788	1801.5878115324304	981.159936	
benchmark-q2-tree-sat_drone-8-2_15.yml	TIMEOUT	1800.666436	1801.3092915527523	1094.152192		TIMEOUT	1800.759661	1801.483873440884	2150.764544		TIMEOUT	1800.718568	1801.5944870347157	1114.230784	
benchmark-q2-tree-sat_drone-8-2_3.yml	false	118.377127	118.97051598131657	411.041792	160	TIMEOUT	1800.691504	1801.4320473717526	980.148224		TIMEOUT	1800.715061	1801.6070043211803	995.885056	
