tool	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks
benchmarks/files/benchmark-general/	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
benchmark-general-sat_mem_1_obstacles-demo_11.yml	TIMEOUT	1800.613103	1800.9365387093276	222.502912		true	480.802451	481.2291286420077	758.788096	337859
benchmark-general-sat_mem_1_obstacles-demo_13.yml	TIMEOUT	1800.619075	1800.8485172130167	205.639680		true	1343.361131	1344.1851680492982	1179.947008	546766
benchmark-general-sat_mem_1_obstacles-demo_15.yml	TIMEOUT	1800.620477	1800.8786257915199	250.519552		true	565.534091	565.9895448517054	716.689408	312196
benchmark-general-sat_mem_1_obstacles-demo_3.yml	TIMEOUT	1800.605189	1801.1156176980585	232.439808		false	3.931048	4.115069665014744	171.622400	1029
benchmark-general-sat_mem_1_obstacles-demo_5.yml	TIMEOUT	1800.603158	1801.0717862499878	235.495424		true	74.669095	74.99828707054257	247.967744	31691
benchmark-general-sat_mem_1_obstacles-demo_7.yml	TIMEOUT	1800.600793	1801.1160926744342	259.141632		true	5.90187	6.174350306391716	196.804608	2550
benchmark-general-sat_mem_1_obstacles-demo_9.yml	TIMEOUT	1800.607564	1801.099362029694	235.122688		true	60.486316	60.799024366773665	278.753280	51096
benchmark-general-sat_mem_1_pacman-6_1.yml	OUT OF MEMORY	708.750293	712.6714301332831	16000.000000		false	2.080968	2.2596798576414585	249.315328	6
benchmark-general-sat_mem_1_pacman-6_11.yml	OUT OF MEMORY	700.0784	703.9910291209817	16000.000000		true	180.208423	180.506163966842	874.110976	1364
benchmark-general-sat_mem_1_pacman-6_13.yml	OUT OF MEMORY	740.179139	742.8187483791262	16000.000000		true	526.625059	527.0079511227086	1115.197440	6702
benchmark-general-sat_mem_1_pacman-6_15.yml	OUT OF MEMORY	771.661849	774.8245708867908	16000.000000		true	782.643547	783.0437588440254	1204.244480	6426
benchmark-general-sat_mem_1_pacman-6_3.yml	OUT OF MEMORY	666.879935	668.5707492865622	16000.000000		true	9.165442	9.552292975597084	348.794880	913
benchmark-general-sat_mem_1_pacman-6_5.yml	OUT OF MEMORY	670.849255	671.9488085238263	16000.000000		true	35.660862	35.921923937276006	452.239360	891
benchmark-general-sat_mem_1_pacman-6_7.yml	OUT OF MEMORY	688.448576	692.0531603498384	16000.000000		true	55.846955	56.11269968748093	591.593472	505
benchmark-general-sat_mem_1_pacman-6_9.yml	OUT OF MEMORY	680.538188	682.608907001093	16000.000000		true	58.203051	58.55425474792719	658.239488	810
benchmark-general-sat_mem_1_refuel-04_1.yml	false	1.398577	1.7754651550203562	170.987520		false	0.451237	0.6488591954112053	154.357760	0
benchmark-general-sat_mem_1_refuel-04_11.yml	true	245.283907	245.79294536542147	303.820800		true	3.833685	4.128660788759589	209.678336	1220
benchmark-general-sat_mem_1_refuel-04_13.yml	true	965.915346	966.4533407082781	314.470400		true	4.416962	4.738891523331404	214.388736	604
benchmark-general-sat_mem_1_refuel-04_15.yml	true	695.990081	696.4743880210444	314.368000		true	4.570914	4.847936340607703	216.084480	32
benchmark-general-sat_mem_1_refuel-04_3.yml	false	1.77944	2.1865048427134752	196.235264		false	0.872629	1.0733851566910744	171.712512	24
benchmark-general-sat_mem_1_refuel-04_5.yml	false	4.544961	4.762174992822111	195.739648		false	1.586723	1.787882418371737	171.614208	257
benchmark-general-sat_mem_1_refuel-04_7.yml	true	185.778638	186.11478181090206	292.376576		true	1.566443	1.9252716237679124	203.624448	81
benchmark-general-sat_mem_1_refuel-04_9.yml	true	429.965451	430.29118294175714	297.390080		true	2.326874	2.6843457631766796	206.360576	146
