tool	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks
benchmarks/files/benchmark-general/	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
benchmark-general-sat_mem_1_obstacles-demo_9.yml	TIMEOUT	1800.607564	1801.099362029694	235.122688		true	60.486316	60.799024366773665	278.753280	51096
benchmark-general-sat_mem_1_pacman-6_1.yml	OUT OF MEMORY	708.750293	712.6714301332831	16000.000000		false	2.080968	2.2596798576414585	249.315328	6
benchmark-general-sat_mem_1_pacman-6_11.yml	OUT OF MEMORY	700.0784	703.9910291209817	16000.000000		true	180.208423	180.506163966842	874.110976	1364
benchmark-general-sat_mem_1_pacman-6_13.yml	OUT OF MEMORY	740.179139	742.8187483791262	16000.000000		true	526.625059	527.0079511227086	1115.197440	6702
benchmark-general-sat_mem_1_pacman-6_15.yml	OUT OF MEMORY	771.661849	774.8245708867908	16000.000000		true	782.643547	783.0437588440254	1204.244480	6426
benchmark-general-sat_mem_1_pacman-6_3.yml	OUT OF MEMORY	666.879935	668.5707492865622	16000.000000		true	9.165442	9.552292975597084	348.794880	913
benchmark-general-sat_mem_1_pacman-6_5.yml	OUT OF MEMORY	670.849255	671.9488085238263	16000.000000		true	35.660862	35.921923937276006	452.239360	891
benchmark-general-sat_mem_1_pacman-6_7.yml	OUT OF MEMORY	688.448576	692.0531603498384	16000.000000		true	55.846955	56.11269968748093	591.593472	505
benchmark-general-sat_mem_1_pacman-6_9.yml	OUT OF MEMORY	680.538188	682.608907001093	16000.000000		true	58.203051	58.55425474792719	658.239488	810
benchmark-general-sat_mem_1_rocks-6-4-big-family_1.yml	OUT OF MEMORY	414.755405	415.74057797156274	16000.000000		false	1.840457	2.053894148208201	191.909888	7
