tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	SMPMC	SMPMC	SMPMC	SMPMC	SMPMC	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)
benchmarks/files/benchmark-q2-cost/			status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
benchmark-q2-cost-sat_dpm.yml	sat	true	true	3.570951	3.8175645312294364	225.939456	49	true	10.444821	10.735404178500175	249.344000	989	TIMEOUT	1800.65481	1800.9552612379193	1448.480768	
benchmark-q2-cost-sat_grid-10-sl-4fsc.yml	sat	true	true	0.590034	0.8206922234967351	156.332032	64	true	1.120141	1.4431981230154634	165.965824	185	TIMEOUT	1800.682581	1800.929527996108	942.706688	
benchmark-q2-cost-sat_grid-meet-sl-2fsc.yml	sat	true	true	33.068997	33.297108857892454	644.988928	2568	true	19.49055	19.77337523549795	1015.230464	609	TIMEOUT	1800.902871	1800.9167463313788	11144.577024	
benchmark-q2-cost-sat_maze.yml	sat	true	true	133.893322	134.1262394376099	180.211712	18896	true	0.47412	0.7994027910754085	161.718272	49	TIMEOUT	1800.612017	1800.9291497627273	185.880576	
benchmark-q2-cost-unsat_dpm.yml	unsat	false	false	5.546902	5.772574062459171	225.468416	20	false	8.341641	8.625355488620698	248.758272	967	TIMEOUT	1800.607686	1801.0120087899268	1470.046208	
benchmark-q2-cost-unsat_grid-10-sl-4fsc.yml	unsat	false	false	0.771248	1.0091560054570436	156.061696	97	false	1.429732	1.7247877037152648	165.847040	234	TIMEOUT	1800.678878	1800.951712523587	968.908800	
benchmark-q2-cost-unsat_grid-meet-sl-2fsc.yml	unsat	false	false	47.607996	47.84258307609707	644.734976	1283	false	83.681006	84.00338074564934	1023.860736	2720	TIMEOUT	1800.892846	1800.9442540761083	11139.379200	
benchmark-q2-cost-unsat_maze.yml	unsat	false	TIMEOUT	1800.61585	1800.917971741408	179.884032		false	1.480684	1.780534197576344	162.045952	829	TIMEOUT	1800.613855	1800.9051396399736	185.319424	
