x,y,velx,vely
22.100,2.240,-0.000,0.000
31.180,-2.400,-0.093,-19.555
23.200,-2.920,-0.078,-19.827
25.500,-2.930,-0.100,-14.768
31.050,-2.660,-0.110,-20.045
31.810,-2.040,-0.041,-15.914
31.860,-2.530,-0.039,-14.195
33.860,-2.980,-0.049,-15.548
27.080,-2.240,-0.042,-16.375
19.350,2.570,0.000,0.000
24.280,2.070,0.000,0.000
23.780,1.910,0.000,0.000
17.960,2.550,0.000,0.000
24.600,2.680,0.000,0.000
24.770,2.020,0.000,0.000
25.020,2.340,0.000,0.000
17.770,2.800,0.000,0.000
25.150,-0.800,-0.503,-13.259
26.010,-1.110,-0.456,-15.677
30.800,-0.980,-0.518,-15.535
28.990,-0.880,-0.549,-10.921
32.710,-0.920,-0.278,-11.847
24.320,-0.860,-0.276,-14.375
29.400,-0.780,-0.301,-12.736
28.480,-0.780,-0.296,-14.635
27.610,2.280,1.671,-3.875
33.340,2.270,1.755,-3.194
31.710,2.830,1.647,-4.407
32.380,2.390,1.719,-4.310
27.320,2.400,1.348,-4.294
31.430,2.610,1.378,-4.619
29.030,2.860,1.438,-3.893
33.680,2.450,1.863,-4.636
20.350,4.400,3.633,-1.494
25.910,3.440,3.520,-1.513
24.360,4.650,4.438,-1.521
25.030,4.470,4.013,-1.558
24.570,4.170,4.295,-1.394
22.040,4.440,3.457,-1.605
26.920,3.200,4.593,-1.489
20.920,4.350,3.603,-1.318
25.580,3.940,3.548,-5.241
23.310,3.500,3.293,-7.083
27.610,3.470,4.193,-5.967
26.620,2.930,3.479,-6.448
29.080,3.550,3.526,-7.132
31.180,2.770,3.374,-6.043
31.120,3.760,4.750,-6.175
22.070,3.040,4.502,-6.085
26.750,4.210,2.757,-3.307
24.710,4.500,3.616,-2.935
32.120,4.770,3.304,-2.554
26.300,3.360,2.736,-2.711
26.440,4.670,2.830,-2.092
32.110,3.570,2.933,-2.741
22.180,4.290,3.239,-2.929
22.780,4.150,3.123,-2.541
15.640,7.320,1.966,-19.845
22.130,8.730,1.834,-14.895
20.390,8.810,1.655,-19.957
17.490,7.200,1.444,-20.975
15.620,8.970,1.948,-18.580
23.020,8.960,2.042,-14.296
23.190,6.960,1.652,-15.597
20.510,7.990,1.513,-20.391
25.390,4.090,13.300,3.028
27.120,4.250,11.660,3.073
28.170,4.030,12.551,3.337
28.690,4.130,12.326,3.921
23.300,3.070,11.137,3.016
26.210,3.310,11.098,3.449
29.620,2.980,10.734,3.703
23.010,3.090,8.906,2.760
33.810,-3.860,2.365,-25.831
24.850,-3.970,3.092,-31.410
32.190,-3.910,2.456,-24.003
26.660,-4.650,2.943,-32.306
30.520,-4.240,2.036,-28.469
30.440,-3.790,1.974,-27.632
24.150,-3.500,2.122,-27.438
30.630,-3.640,2.722,-31.153
22.680,-7.950,3.416,-26.266
24.430,-6.320,3.659,-23.197
31.350,-5.830,4.169,-27.156
25.440,-5.950,3.903,-34.266
31.170,-6.640,4.429,-30.980
29.210,-6.080,4.473,-26.573
23.460,-6.920,4.063,-22.938
32.230,-6.240,4.307,-23.341
22.340,3.940,-0.023,-0.005
23.290,3.260,-0.022,-0.006
20.970,3.550,-0.022,-0.005
21.760,3.970,-0.024,-0.006
19.250,3.540,-0.571,0.298
23.270,3.940,-0.518,0.286
25.570,3.760,-0.614,0.252
23.460,3.330,-0.503,0.299
20.250,2.920,4.948,0.213
21.440,2.900,5.150,0.167
22.660,2.720,5.209,0.225
20.820,3.410,5.551,0.238
19.830,2.550,4.972,0.565
25.030,3.080,3.811,0.548
23.870,2.950,3.891,0.476
