tool	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set	SMPMC.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	PAYNT-CEGIS.Benchmarks	PAYNT-CEGIS.Benchmarks	PAYNT-CEGIS.Benchmarks	PAYNT-CEGIS.Benchmarks	PAYNT-CEGIS.Benchmarks
benchmarks/files/benchmark-q2-tree/	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
benchmark-q2-tree-sat_drone-4-1_1.yml	false	0.82746	1.6347150197252631	155.598848	5	TIMEOUT	1800.620654	1801.5610740194097	440.094720		false	0.99623	1.734915061853826	147.820544	4
benchmark-q2-tree-sat_drone-4-1_3.yml	false	14.743491	15.571218657307327	169.840640	2221	TIMEOUT	1800.614124	1801.4466122584417	303.849472		false	4.622579	5.382296439260244	152.440832	92
benchmark-q2-tree-sat_drone-4-1_5.yml	false	472.598429	473.45943932794034	652.861440	68355	TIMEOUT	1800.617018	1801.5180381387472	473.509888		false	408.389004	409.1588890077546	185.266176	2588
benchmark-q2-tree-sat_drone-4-2_1.yml	false	1.002948	1.806632368825376	156.753920	5	TIMEOUT	1800.619398	1801.5489096520469	478.347264		false	1.080335	1.7839957447722554	148.566016	4
benchmark-q2-tree-sat_drone-4-2_3.yml	false	620.615947	621.4113077986985	1604.096000	111811	TIMEOUT	1800.609111	1801.4837668677792	344.707072		false	11.774234	12.440845426172018	188.403712	112
benchmark-q2-tree-sat_drone-8-2_1.yml	false	2.863401	3.552084270864725	219.172864	5	TIMEOUT	1800.68291	1801.4762207800522	916.615168		false	3.382301	4.023260393179953	197.001216	4
benchmark-q2-tree-sat_drone-8-2_3.yml	TIMEOUT	1801.213947	1802.0354103557765	916.164608		TIMEOUT	1800.689535	1801.489688249305	995.495936		false	114.313208	114.92588118836284	411.054080	160
benchmark-q2-tree-sat_maze-alex_13.yml	true	1.313348	1.6198262553662062	185.106432	390	TIMEOUT	1800.61375	1800.9250474441797	164.573184		true	0.965556	1.1249317154288292	146.599936	25
