tool	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks
benchmarks/files/benchmark-general/	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
benchmark-general-sat_mem_1_avoid-8-2-big-family_1.yml	TIMEOUT	1800.785288	1801.7237978773192	2542.870528		false	9.854204	10.677411544136703	965.025792	7
benchmark-general-sat_mem_1_avoid-8-2-big-family_11.yml	TIMEOUT	1800.780323	1801.697921606712	2685.775872		TIMEOUT	1802.027428	1803.3803490065038	3034.226688	
benchmark-general-sat_mem_1_avoid-8-2-big-family_13.yml	TIMEOUT	1800.763144	1801.6369585730135	2693.308416		TIMEOUT	1802.782788	1803.868993732147	4831.637504	
benchmark-general-sat_mem_1_avoid-8-2-big-family_15.yml	TIMEOUT	1800.802937	1801.7228184062988	2704.912384		TIMEOUT	1802.506273	1803.5896205594763	4036.853760	
benchmark-general-sat_mem_1_avoid-8-2-big-family_3.yml	TIMEOUT	1800.912208	1801.8776984587312	2551.517184		true	1191.840987	1192.8409613333642	3552.129024	24967
benchmark-general-sat_mem_1_avoid-8-2-big-family_5.yml	TIMEOUT	1800.913536	1801.8331562280655	2498.134016		TIMEOUT	1801.959106	1803.2443128181621	3593.519104	
benchmark-general-sat_mem_1_avoid-8-2-big-family_7.yml	TIMEOUT	1800.955164	1801.9007984716445	2599.870464		TIMEOUT	1802.556172	1803.7105508251116	3578.351616	
benchmark-general-sat_mem_1_avoid-8-2-big-family_9.yml	TIMEOUT	1800.98305	1801.8742442755029	2608.902144		TIMEOUT	1802.295124	1803.3772806013003	3615.981568	
benchmark-general-sat_mem_1_avoid-8-2_1.yml	TIMEOUT	1800.893855	1801.7274002283812	2501.398528		false	9.477025	10.267806026153266	912.805888	7
benchmark-general-sat_mem_1_avoid-8-2_11.yml	TIMEOUT	1800.99178	1801.9402527930215	2602.483712		TIMEOUT	1802.653934	1803.8173517603427	4877.828096	
benchmark-general-sat_mem_1_avoid-8-2_13.yml	TIMEOUT	1800.979073	1801.8746360139921	2638.512128		TIMEOUT	1802.106032	1803.1768197575584	3252.297728	
benchmark-general-sat_mem_1_avoid-8-2_15.yml	TIMEOUT	1800.9817	1801.874865788035	2653.425664		TIMEOUT	1801.989315	1803.0703336261213	3169.480704	
benchmark-general-sat_mem_1_avoid-8-2_3.yml	TIMEOUT	1800.976045	1801.8319431347772	2505.576448		TIMEOUT	1802.090183	1803.8756688879803	3558.494208	
benchmark-general-sat_mem_1_avoid-8-2_5.yml	TIMEOUT	1800.982871	1801.853749923408	2538.631168		TIMEOUT	1802.251931	1803.4652131274343	3570.257920	
benchmark-general-sat_mem_1_avoid-8-2_7.yml	TIMEOUT	1800.966662	1801.8310389881954	2544.541696		TIMEOUT	1802.666816	1803.629926489666	3552.645120	
benchmark-general-sat_mem_1_avoid-8-2_9.yml	TIMEOUT	1800.977542	1801.757325653918	2555.342848		TIMEOUT	1802.432559	1803.3679294139147	5337.845760	
benchmark-general-sat_mem_1_catch-5_1.yml	OUT OF MEMORY	337.427384	342.20821281708777	16000.000000		false	1.195386	1.886683041229844	194.977792	6
benchmark-general-sat_mem_1_catch-5_11.yml	OUT OF MEMORY	245.691072	250.7380230128765	16000.000000		TIMEOUT	1801.631127	1802.8016673140228	1502.658560	
benchmark-general-sat_mem_1_catch-5_13.yml	OUT OF MEMORY	245.116966	248.46415742952377	16000.000000		TIMEOUT	1801.860502	1803.4799288846552	2066.366464	
benchmark-general-sat_mem_1_catch-5_15.yml	OUT OF MEMORY	358.117929	364.5858297580853	16000.000000		TIMEOUT	1801.47283	1802.644477984868	1513.439232	
benchmark-general-sat_mem_1_catch-5_3.yml	OUT OF MEMORY	282.930148	288.9171178108081	16000.000000		false	4.240054	4.971116124652326	213.065728	136
benchmark-general-sat_mem_1_catch-5_5.yml	OUT OF MEMORY	306.191431	307.0278091719374	16000.000000		false	32.509344	33.180213005281985	291.856384	2515
benchmark-general-sat_mem_1_catch-5_7.yml	OUT OF MEMORY	224.95579	226.65391536056995	16000.000000		false	743.565523	744.2629274837673	971.325440	44182
benchmark-general-sat_mem_1_catch-5_9.yml	OUT OF MEMORY	230.44305	232.57953705545515	16000.000000		TIMEOUT	1801.363203	1802.5693627465516	1144.311808	
