tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-Hybrid	SMPMC	SMPMC	SMPMC	SMPMC	SMPMC	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	PAYNT-AR	PAYNT-AR	PAYNT-AR	PAYNT-AR	PAYNT-AR
benchmarks/files/simple-q1/			status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
jair-sat_box-pushing-1fsc.yml	sat	true	unknown	2.813542	3.5720913130789995	160.174080		unknown	2.879894	3.6004975019022822	161.021952		true	3.319076	4.07932879589498	202.043392	166	TIMEOUT	1800.657103	1801.4797329455614	1224.220672		true	2.948159	3.687659057788551	164.720640	18
jair-sat_box-pushing-2fsc.yml	sat	true	unknown	8.071561	8.81949389912188	252.383232		unknown	8.156942	8.880975514650345	252.596224		true	472.224622	473.0610883515328	359.915520	28468	TIMEOUT	1800.762942	1801.617504650727	4380.098560		true	15.369828	16.104537373408675	929.640448	130
jair-sat_dpm.yml	sat	true	true	1.066889	1.814618756994605	219.217920	1	true	2.262046	2.966571468859911	375.132160	42	true	2.428093	3.163639945909381	243.437568	44	TIMEOUT	1800.659679	1801.5622856263071	1400.995840		true	1.477237	2.187778912484646	282.808320	7
jair-sat_grid-10-sl-4fsc.yml	sat	true	true	0.657585	1.388788023032248	149.889024	117	TIMEOUT	1800.597245	1801.3896079352126	161.832960		true	0.610961	1.3501210529357195	159.911936	20	TIMEOUT	1800.672408	1801.534744847566	1219.670016		TIMEOUT	1800.601334	1801.3368563922122	136.269824	
jair-sat_grid-meet-sl-2fsc.yml	sat	true	true	40.432966	41.16360571794212	639.422464	3964	TIMEOUT	1800.839959	1801.7284967824817	5922.656256		true	15.745759	16.488825385458767	1005.629440	1060	TIMEOUT	1800.927095	1801.8425641227514	11142.619136		true	747.672504	748.4032320715487	4339.544064	22224
jair-sat_grid.yml	sat	true	true	0.705486	1.4349699141457677	147.324928	227	true	3.731913	4.431913175620139	158.851072	6703	true	0.686732	1.4623063206672668	156.336128	211	true	1001.712627	1002.6008759224787	224.034816		true	1.476418	2.18182760104537	133.976064	2176
jair-sat_grid3x3-1fsc.yml	sat	true	unknown	0.716386	1.427193347364664	150.245376		unknown	0.690968	1.4032913679257035	149.884928		true	3.546221	4.310432260856032	212.533248	257	TIMEOUT	1800.724783	1801.6291525419801	2159.505408		true	1.204414	1.8929761350154877	217.182208	20
jair-sat_grid3x3-2fsc.yml	sat	true	unknown	2.552268	3.2398149566724896	326.377472		unknown	2.556696	3.257986585609615	326.225920		true	27.266077	28.04555951524526	515.960832	427	TIMEOUT	1800.670479	1801.541234569624	1486.360576		true	8.068615	8.783615415915847	576.671744	52
jair-sat_herman.yml	sat	true	true	37.859491	38.55401277169585	899.289088	39	true	1208.613273	1209.3676049429923	10275.418112	50421	true	38.748338	39.545439356938004	1066.754048	19	TIMEOUT	1800.820582	1801.6996765481308	7220.568064		true	39.815758	40.503049332648516	898.158592	3
jair-sat_maze-sl-5.yml	sat	true	TIMEOUT	1800.601984	1801.481411602348	231.055360		TIMEOUT	1800.599449	1801.305736192502	142.213120		TIMEOUT	1800.598685	1801.4846357088536	432.611328		TIMEOUT	1800.60877	1801.4228836689144	226.254848		TIMEOUT	1800.599387	1801.3151601795107	134.139904	
jair-sat_maze.yml	sat	true	true	15.539238	16.192657611332834	147.341312	4300	TIMEOUT	1800.600052	1801.2862941836938	141.905920		true	0.482496	1.1913780895993114	155.914240	57	TIMEOUT	1800.602285	1801.4621478589252	180.170752		TIMEOUT	1800.599006	1801.3070636242628	133.844992	
jair-sat_pole-res.yml	sat	true	unknown	0.529747	1.1787604913115501	133.996544		unknown	0.580628	1.2387306494638324	133.697536		true	0.676054	1.4070815406739712	172.363776	25	TIMEOUT	1800.634902	1801.4370675142854	652.865536		true	0.832103	1.4797286512330174	183.414784	12
jair-sat_pole.yml	sat	true	unknown	0.56626	1.218218831345439	136.798208		unknown	0.629367	1.2613642597571015	136.884224		true	1.571279	2.2885223431512713	181.743616	189	TIMEOUT	1800.639269	1801.50057150051	888.619008		true	0.963538	1.6163163464516401	210.001920	12
jair-sat_recycling-2fsc.yml	sat	true	unknown	0.414962	1.044516010209918	134.053888		unknown	0.438085	1.0607190458104014	134.033408		true	0.528241	1.2116939220577478	155.705344	32	TIMEOUT	1800.606076	1801.3658703379333	248.696832		true	0.475326	1.118979592807591	133.836800	9
jair-sat_recycling-3fsc.yml	sat	true	unknown	0.505778	1.140876179561019	134.213632		unknown	0.528164	1.1642603790387511	133.861376		true	0.542161	1.1737713403999805	157.319168	51	TIMEOUT	1800.64034	1801.3827212722972	583.512064		true	0.508084	1.134182938374579	134.008832	12
jair-sat_refuel-06-res.yml	sat	true	TIMEOUT	1800.604403	1801.4303139708936	240.771072		true	0.712335	1.3277457365766168	157.753344	54	true	1.458043	2.0513838147744536	156.975104	582	TIMEOUT	1800.607443	1801.4077657368034	240.844800		true	0.548055	1.182126664556563	134.623232	11
jair-sat_tiny_rewards.yml	sat	true	unknown	0.39474	1.0018841344863176	133.783552		unknown	0.455742	1.0384481018409133	133.943296		true	0.37714	1.0310498625040054	155.820032	1	true	0.435626	1.1104737529531121	157.044736		true	0.47389	1.077516465447843	133.808128	1
pomdps-sat_mem_1_4x3-95_1.yml	sat	true	unknown	0.403135	0.998687706887722	103.358464		unknown	0.408483	1.0024051340296865	103.370752		true	0.559954	1.151297664269805	140.443648	256	false	1176.127755	1176.8198647182435	175.312896		true	0.378917	0.981195954605937	105.684992	7
pomdps-sat_mem_1_4x5x2-95_1.yml	sat	true	unknown	0.437929	1.0256502907723188	103.391232		unknown	0.392586	0.9788671806454659	103.546880		true	0.454582	1.0960291912779212	140.517376	2	true	1.213324	1.8959519695490599	147.128320		true	0.474849	1.075315454043448	105.730048	6
pomdps-sat_mem_1_drone-4-1_1.yml	sat	true	TIMEOUT	1800.608242	1801.3254807097837	262.692864		TIMEOUT	1800.599834	1801.253822750412	223.453184		TIMEOUT	1800.691562	1801.608280329965	5159.018496		TIMEOUT	1800.622261	1801.336831937544	292.741120		true	3.65098	4.194560645148158	146.530304	728
pomdps-sat_mem_1_drone-4-2_1.yml	sat	true	TIMEOUT	1800.597412	1801.3802123181522	350.445568		TIMEOUT	1800.605116	1801.2170727895573	191.238144		TIMEOUT	1800.721905	1801.4086875049397	3631.194112		TIMEOUT	1800.614425	1801.3355453759432	326.471680		true	0.577097	1.108387972228229	132.558848	20
