tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	PAYNT-AR-MDP-Eval	PAYNT-AR-MDP-Eval	PAYNT-AR-MDP-Eval	PAYNT-AR-MDP-Eval	PAYNT-AR-MDP-Eval	PAYNT-AR-1-by-1	PAYNT-AR-1-by-1	PAYNT-AR-1-by-1	PAYNT-AR-1-by-1	PAYNT-AR-1-by-1	SMPMC	SMPMC	SMPMC	SMPMC	SMPMC
benchmarks/files/robust-q3/			status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
mdp-families-sat_mem_1_uav-roz_1.yml	sat	true	TIMEOUT	1800.735231	1801.476349257864	1380.507648		true	3.775888	4.359635730274022	329.375744	36	true	8.288753	8.867864624597132	246.865920	432	TIMEOUT	1802.822664	1803.6638119164854	6973.165568	
mdp-families-sat_mem_1_virus-big-family_1.yml	sat	true	TIMEOUT	1800.633113	1801.3606155598536	398.917632		unknown	2.349113	2.9384980630129576	318.025728		unknown	252.187032	252.75770765729249	309.755904		true	2.724016	3.4023206466808915	406.945792	17
other-sat_box-pushing.yml	sat	true	TIMEOUT	1800.648255	1800.8907207595184	1673.416704		TIMEOUT	1800.635625	1800.8922218205407	306.642944		TIMEOUT	1800.628029	1800.8501696493477	290.177024		true	54.823461	55.00260108616203	356.605952	3909
other-sat_dpm.yml	sat	true	TIMEOUT	1800.685715	1800.9177895858884	3555.938304		true	54.590397	54.74596915859729	2151.202816	171	TIMEOUT	1800.684513	1800.9077100940049	1359.790080		true	17.716288	17.927873951382935	1339.678720	242
other-sat_maze.yml	sat	true	TIMEOUT	1800.626156	1800.848045189865	286.892032		true	0.615204	0.7612226037308574	136.318976	29	true	0.404924	0.5453643212094903	136.552448	27	true	5.226427	5.467036686837673	171.040768	4423
pomdp-families-sat_mem_1_dpm-switch-q10_1.yml	sat	true	TIMEOUT	1800.634053	1800.8713213922456	480.641024		true	3.03795	3.163168800994754	136.028160	806	true	37.439142	37.59655179642141	136.593408	66985	true	0.785839	1.0070661399513483	176.234496	205
pomdp-families-sat_mem_1_dpm_1.yml	sat	true	TIMEOUT	1800.636719	1800.9146227734163	831.438848		true	121.714725	121.87854362092912	144.089088	4334	true	322.761265	322.9226117907092	268.234752	252373	true	1.25254	1.4446950517594814	180.838400	249
pomdp-families-sat_mem_1_refuel-04_1.yml	sat	true	TIMEOUT	1800.620694	1800.8352928627282	292.540416		true	0.379844	0.5005244640633464	136.511488	30	true	0.399449	0.5224711624905467	136.450048	25	true	1.134083	1.3402096452191472	171.261952	551
pomdp-families-sat_mem_1_rover-100_1.yml	sat	true	false	553.924882	554.1223453003913	921.534464		true	1.03969	1.1912201037630439	136.343552	4	true	2.094555	2.246033487841487	136.249344	1730	true	0.70444	0.9024750050157309	182.972416	7
pomdp-families-sat_mem_1_rover_1.yml	sat	true	false	41.064921	41.255586865358055	344.014848		true	146.820712	146.96373115945607	136.417280	2	true	313.383162	313.5072078742087	737.361920	524880	true	0.836538	1.0423518968746066	181.866496	13
pomdp-families-sat_mem_2_dpm_2.yml	sat	true	TIMEOUT	1800.661986	1801.2110639726743	1427.374080		true	324.994055	325.1888642767444	192.917504	12019	TIMEOUT	1800.628678	1800.837792025879	305.045504		true	42.047478	42.253478773869574	273.801216	8097
pomdp-families-sat_mem_2_obstacles-8-3_2.yml	sat	true	OUT OF MEMORY	101.181878	113.80076942592859	16000.000000		TIMEOUT	1800.580008	1801.4690180504695	136.351744		TIMEOUT	1800.611934	1800.8966015493497	138.117120		TIMEOUT	1801.621186	1802.1491407016292	1545.355264	
pomdp-families-sat_mem_2_obstacles-8-6_2.yml	sat	true	OUT OF MEMORY	61.251735	63.990015086717904	16000.000000		TIMEOUT	1800.606635	1801.1974240988493	136.384512		TIMEOUT	1800.626412	1800.8044609343633	186.978304		TIMEOUT	1801.770579	1802.2715771244839	2153.291776	
pomdp-families-sat_mem_2_refuel-04_2.yml	sat	true	TIMEOUT	1800.679653	1801.288299124688	1340.899328		true	0.409061	0.5422253552824259	136.351744	54	true	0.605153	0.7345961201936007	136.347648	42	true	1.741836	1.95247033983469	172.376064	708
pomdp-families-sat_mem_2_rover-100_2.yml	sat	true	TIMEOUT	1800.737978	1801.29248744715	2844.082176		true	3.522243	3.636340333148837	180.801536	7	true	10.512635	10.666748745366931	167.276544	1733	true	1.388649	1.5863851886242628	256.278528	7
mdp-families-unsat_mem_1_avoid-8-2-easy_1.yml	unsat	false	TIMEOUT	1800.841078	1801.4145553046837	2477.465600		TIMEOUT	1800.657349	1800.9539028666914	609.599488		false	2.553054	2.696639249101281	238.297088	10	TIMEOUT	1802.454506	1802.8402416501194	7560.544256	
mdp-families-unsat_mem_1_dpm-switch-q10-big-big-family_1.yml	unsat	false	TIMEOUT	1800.728214	1801.253908588551	1109.274624		false	1.949873	2.0933509338647127	357.150720	8	false	182.443702	182.6039340607822	459.141120	29162	TIMEOUT	1800.279972	1804.460128459148	4413.620224	
mdp-families-unsat_mem_1_dpm-switch-q10-big-family_1.yml	unsat	false	OUT OF MEMORY	998.269759	1001.1378358146176	16000.000000		false	0.528218	0.6811370206996799	136.318976	7	TIMEOUT	1800.618992	1800.781572223641	153.128960		false	0.812771	1.0225065490230918	200.216576	4
mdp-families-unsat_mem_1_dpm-switch-q10-big_1.yml	unsat	false	TIMEOUT	1800.714002	1801.2331253364682	981.127168		false	0.676086	0.8284797975793481	179.433472	6	TIMEOUT	1800.622752	1800.809764534235	217.915392		TIMEOUT	1800.816483	1801.2001452418044	4956.217344	
mdp-families-unsat_mem_1_dpm-switch-q10_1.yml	unsat	false	OUT OF MEMORY	358.524044	360.2027290016413	16000.000000		false	0.663016	0.8214182127267122	135.802880	6	TIMEOUT	1800.616575	1800.8101037926972	135.913472		false	71.580872	72.39354104269296	410.660864	4747
mdp-families-unsat_mem_1_obstacles-10-6-skip-easy-big-family_1.yml	unsat	false	TIMEOUT	1800.74378	1801.2094669807702	1256.026112		TIMEOUT	1800.619164	1800.8892338955775	136.343552		TIMEOUT	1800.851373	1801.0587294986472	3458.158592		false	64.009024	64.85572723578662	298.762240	17970
mdp-families-unsat_mem_1_rover-100-big-big-family_1.yml	unsat	false	OUT OF MEMORY	467.020801	479.0438729636371	16000.000000		false	0.890206	1.0444244937971234	147.320832	1	OUT OF MEMORY	87.187495	91.13309369143099	16000.000000		false	10.181752	10.986146058887243	216.920064	3
mdp-families-unsat_mem_1_rover-1000-big-family_1.yml	unsat	false	TIMEOUT	1800.684232	1800.9485087562352	1191.649280		false	4.291616	4.439840214326978	524.177408	1	false	17.387569	17.508424445986748	4932.702208	1	false	53.957097	54.759232418611646	953.311232	3
mdp-families-unsat_mem_1_rover-1000_1.yml	unsat	false	TIMEOUT	1800.658662	1800.9057764671743	876.736512		false	0.728815	0.8861365299671888	172.470272	1	false	0.682382	0.8263014303520322	172.756992	1	false	14.161847	15.178244815208018	296.628224	3
mdp-families-unsat_mem_1_uav-operator-roz-workload-big-family_1.yml	unsat	false	TIMEOUT	1800.723779	1800.9970128629357	1748.692992		false	1.853806	1.9988262755796313	347.193344	1	false	7.478145	7.616502093151212	1833.885696	1	TIMEOUT	1801.20854	1802.0973435817286	14914.781184	
mdp-families-unsat_mem_1_uav-operator-roz-workload_1.yml	unsat	false	TIMEOUT	1800.696544	1800.9480700818822	1295.167488		false	1.064128	1.215875444933772	245.592064	1	false	1.044973	1.182081338018179	245.866496	1	TIMEOUT	1801.045368	1802.0143330078572	7276.363776	
mdp-families-unsat_mem_1_uav-roz-big-family_1.yml	unsat	false	TIMEOUT	1800.991133	1801.243410394527	5651.812352		false	2.378139	2.5288106547668576	596.140032	1	false	2.324808	2.474875411018729	598.708224	1	OUT OF MEMORY	1021.338228	1022.4075081534684	16000.000000	
mdp-families-unsat_mem_1_uav-roz_1.yml	unsat	false	TIMEOUT	1800.69994	1800.9797567771748	1379.561472		false	1.69165	1.8258240576833487	308.203520	36	false	1.191743	1.3405835125595331	246.661120	21	TIMEOUT	1801.090883	1802.0655077090487	6619.611136	
mdp-families-unsat_mem_1_virus-big-family_1.yml	unsat	false	TIMEOUT	1800.633769	1800.8421705495566	403.832832		unknown	2.30882	2.4593534329906106	320.585728		false	7.75972	7.8910940662026405	309.714944	1682	false	91.094431	92.32093061134219	546.443264	3447
other-unsat_box-pushing.yml	unsat	false	TIMEOUT	1800.646999	1800.8903178609908	1674.977280		TIMEOUT	1800.625329	1800.9778589373454	306.647040		TIMEOUT	1800.613315	1800.8409616462886	291.766272		false	227.800886	228.75457635335624	364.900352	8247
other-unsat_dpm.yml	unsat	false	TIMEOUT	1800.69186	1800.967995272018	3558.023168		TIMEOUT	1800.753809	1801.0175817273557	2621.698048		TIMEOUT	1800.609577	1800.90506338235	1359.699968		false	122.120262	123.10058047343045	1346.056192	2363
other-unsat_maze.yml	unsat	false	TIMEOUT	1800.618609	1800.9222200578079	244.273152		false	0.542497	0.7025740658864379	136.065024	169	false	0.484294	0.6574728796258569	136.114176	171	false	11.154764	12.497303146868944	170.672128	8523
pomdp-families-unsat_mem_1_dpm-switch-q10_1.yml	unsat	false	TIMEOUT	1800.611449	1800.8393576620147	455.823360		false	211.867078	212.1077166683972	136.163328	66799	false	653.738903	653.9168324926868	136.294400	694973	false	4.788585	5.8662703251466155	176.148480	125
pomdp-families-unsat_mem_1_dpm_1.yml	unsat	false	TIMEOUT	1800.613293	1800.890458916314	816.459776		TIMEOUT	1800.611861	1800.9460123553872	142.848000		false	600.242923	600.405276064761	268.517376	558265	false	7.90789	9.724362193606794	180.781056	334
pomdp-families-unsat_mem_1_obstacles-maze-4-2_1.yml	unsat	false	false	166.511813	166.81558869220316	2922.803200		TIMEOUT	1800.609122	1800.9114761594683	136.400896		false	0.616938	0.7424931898713112	136.368128	909	false	4.384735	5.816930597648025	171.634688	47
pomdp-families-unsat_mem_1_obstacles-maze-4_1.yml	unsat	false	false	54.933611	55.147899659350514	1508.397056		TIMEOUT	1800.606795	1800.93996610865	136.318976		false	0.540503	0.6608595242723823	136.679424	1184	false	3.847935	5.0493905786424875	171.499520	51
pomdp-families-unsat_mem_2_avoid_2.yml	unsat	false	TIMEOUT	1800.680787	1800.9964844668284	2627.330048		true	915.094687	915.3566036205739	450.822144	30601	TIMEOUT	1800.630217	1800.8278380213305	342.827008		TIMEOUT	1800.61842	1802.7598953424022	686.608384	
pomdp-families-unsat_mem_2_dpm-switch-q10_2.yml	unsat	false	TIMEOUT	1800.920378	1801.2534627346322	3866.501120		TIMEOUT	1800.616555	1800.8888094928116	137.433088		TIMEOUT	1800.619818	1800.7864753492177	137.351168		false	1336.076683	1337.744394547306	861.720576	284920
pomdp-families-unsat_mem_2_obstacles-8-3_2.yml	unsat	false	OUT OF MEMORY	54.265176	56.85057561658323	16000.000000		TIMEOUT	1800.614256	1800.8910866072401	136.081408		TIMEOUT	1800.613186	1800.8026310512796	138.051584		TIMEOUT	1800.828748	1801.8817989900708	2763.780096	
pomdp-families-unsat_mem_2_obstacles-8-6_2.yml	unsat	false	OUT OF MEMORY	124.802589	136.59204741567373	16000.000000		TIMEOUT	1800.616838	1800.798131171614	136.200192		TIMEOUT	1800.622305	1800.820766418241	187.011072		TIMEOUT	1800.77422	1802.7086186772212	2502.885376	
pomdp-families-unsat_mem_2_obstacles-maze-4-2_2.yml	unsat	false	TIMEOUT	1800.701402	1800.999374809675	1419.894784		TIMEOUT	1800.615974	1800.7968025347218	136.323072		TIMEOUT	1800.612084	1800.8166037695482	136.359936		false	20.389903	21.587934830226004	174.878720	15087
pomdp-families-unsat_mem_2_obstacles-maze-4_2.yml	unsat	false	TIMEOUT	1800.695793	1801.0400777496397	2582.773760		TIMEOUT	1800.615527	1800.7849746923894	136.257536		false	275.170568	275.3071756660938	136.404992	1582956	false	23.841155	24.959421562962234	177.795072	19181
