tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-AR	PAYNT-AR	PAYNT-AR	PAYNT-AR	PAYNT-AR	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMPMC	SMPMC	SMPMC	SMPMC	SMPMC
benchmarks/files/simple-q1/			status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
pomdps-sat_mem_1_drone-4-2_1.yml	sat	true	TIMEOUT	1800.608354	1801.3569345679134	190.976000		TIMEOUT	1800.633567	1801.58478429541	274.411520		true	0.587653	1.1598853319883347	132.558848	20	TIMEOUT	1800.627295	1801.3388042161241	326.828032		TIMEOUT	1800.610875	1801.5566969318315	3631.443968	
pomdps-sat_mem_1_drone-8-2_1.yml	sat	true	TIMEOUT	1800.608055	1801.3282366525382	307.798016		TIMEOUT	1800.605845	1801.3420775225386	329.162752		true	13.026631	13.596054626628757	290.992128	77	TIMEOUT	1800.674206	1801.3962421305478	924.770304		TIMEOUT	1800.711659	1801.3816441763192	3957.927936	
pomdps-sat_mem_1_hallway_1.yml	sat	true	unknown	0.952583	1.6144267227500677	161.988608		unknown	0.844398	1.45722577534616	163.307520		true	91.956725	92.56351157929748	731.045888	1247	TIMEOUT	1800.736873	1801.5251460028812	2908.864512		true	6.869956	7.501889314502478	236.003328	179
pomdps-sat_mem_1_maze-alex_1.yml	sat	true	TIMEOUT	1800.599588	1801.3093643262982	139.030528		true	1.150704	1.7603263705968857	146.247680	622	TIMEOUT	1800.601652	1801.2534598195925	131.870720		true	27.60718	28.305289403535426	156.958720		true	0.477474	1.1625476414337754	155.299840	46
pomdps-sat_mem_1_milos-aaai97_1.yml	sat	true	unknown	0.427037	1.0700732851400971	103.444480		unknown	0.444482	1.0384439388290048	103.043072		true	0.797359	1.3570932187139988	107.081728	521	TIMEOUT	1800.620948	1801.3373205699027	309.551104		true	6.789611	7.406944354064763	141.279232	7413
pomdps-sat_mem_1_network_1.yml	sat	true	unknown	0.424142	0.657113891094923	102.928384		unknown	0.390955	0.6627213209867477	102.961152		true	0.49403	0.675708525814116	105.209856	8	false	0.651419	0.848624431528151	140.353536		true	0.536749	0.8126504346728325	140.505088	19
pomdps-sat_mem_1_query-s2_1.yml	sat	true	unknown	0.462986	0.7125565456226468	103.051264		unknown	0.369509	0.6334467828273773	103.059456		true	0.357532	0.542474776506424	105.431040	8	true	241.570473	241.77307176124305	149.127168		true	0.399939	0.7456680843606591	140.419072	2
pomdps-sat_mem_1_query-s3_1.yml	sat	true	unknown	0.399991	0.6654427405446768	103.428096		unknown	0.455503	0.7285444382578135	103.444480		true	0.588598	0.774996324442327	105.861120	11	TIMEOUT	1800.629022	1800.852605025284	261.156864		true	0.499991	0.8312334809452295	141.139968	7
pomdps-sat_mem_1_refuel-20_1.yml	sat	true	TIMEOUT	1800.613524	1800.9651643959805	288.169984		true	9.388534	9.671639346517622	161.767424	801	TIMEOUT	1800.616644	1800.8745865803212	714.350592		TIMEOUT	1800.714093	1800.9989145463333	1941.303296		true	15.564949	15.971245005726814	196.939776	2396
pomdps-sat_mem_1_rocks-12_1.yml	sat	true	TIMEOUT	1800.633953	1800.9371729530394	435.625984		TIMEOUT	1800.582984	1801.276456178166	268.886016		true	1.283803	1.4310375498607755	181.645312	37	TIMEOUT	1800.656436	1800.9386258758605	865.898496		TIMEOUT	1800.940927	1801.3157754046842	6711.226368	
pomdps-sat_mem_2_4x3-95_2.yml	sat	true	unknown	0.377116	0.547736887820065	103.120896		unknown	0.390179	0.6098303059116006	103.088128		true	0.444142	0.601863800548017	105.467904	20	TIMEOUT	1800.616497	1800.8369748117402	144.687104		true	10.61484	10.922063459642231	149.123072	14358
pomdps-sat_mem_2_4x5x2-95_2.yml	sat	true	unknown	0.408287	0.560822069644928	103.333888		unknown	0.371677	0.5806773593649268	103.387136		true	0.40607	0.5494622346013784	105.623552	15	true	23.262303	23.440984825603664	188.469248		true	0.693793	1.0015528304502368	140.177408	524
pomdps-sat_mem_2_maze-alex_2.yml	sat	true	TIMEOUT	1800.616034	1800.7667854921892	139.182080		true	207.564284	207.79552704561502	188.280832	24389	TIMEOUT	1800.612539	1800.7774536013603	131.891200		TIMEOUT	1800.61454	1800.8610517131165	164.007936		true	1.190351	1.4568115593865514	154.529792	831
pomdps-sat_mem_2_milos-aaai97_2.yml	sat	true	unknown	0.351816	0.47005717922002077	104.198144		unknown	0.388235	0.5751211168244481	104.071168		TIMEOUT	1800.594634	1800.876042291522	220.057600		TIMEOUT	1800.610328	1800.8728283671662	470.786048		true	1.29624	1.5117610590532422	141.447168	390
pomdps-sat_mem_2_network_2.yml	sat	true	unknown	0.511071	0.7090047467499971	102.809600		unknown	0.372356	0.5104357181116939	102.866944		true	0.427713	0.5751557126641273	105.398272	33	true	306.770715	307.14467827416956	148.926464		true	0.913483	1.1558763971552253	140.644352	743
pomdps-sat_mem_2_nrp-8_2.yml	sat	true	TIMEOUT	1800.615865	1800.8593990243971	148.631552		true	0.437039	0.6073100529611111	146.317312	1	true	0.375647	0.5163278440013528	132.059136	22	true	3.470505	3.8127331463620067	167.661568		true	0.500381	0.7176760081201792	155.328512	2
pomdps-sat_mem_2_query-s2_2.yml	sat	true	unknown	0.390994	0.5787183847278357	103.067648		unknown	0.3758	0.5115597266703844	102.969344		true	0.537038	0.677115480415523	105.357312	19	TIMEOUT	1800.614671	1800.963193631731	171.909120		true	0.468611	0.6555632036179304	140.673024	24
pomdps-sat_mem_2_query-s3_2.yml	sat	true	unknown	0.412569	0.6033960022032261	104.140800		unknown	0.407705	0.5818520337343216	104.026112		true	6.696971	6.870664956048131	143.020032	182	TIMEOUT	1800.638505	1801.3360500149429	807.018496		true	5.177426	5.379350887611508	147.300352	267
pomdps-sat_mem_2_refuel-06_2.yml	sat	true	TIMEOUT	1800.613679	1800.835968398489	185.798656		TIMEOUT	1800.614877	1800.9797639157623	243.597312		true	0.695487	0.8664607433602214	132.382720	316	TIMEOUT	1800.621818	1801.2498403247446	323.031040		TIMEOUT	1800.993275	1801.2628719005734	7281.778688	
pomdps-sat_mem_3_4x3-95_3.yml	sat	true	unknown	0.368625	0.5198422838002443	103.190528		unknown	0.427715	0.5914515918120742	103.391232		true	1.597227	1.7898769015446305	106.725376	3284	TIMEOUT	1800.606186	1801.2366622313857	157.732864		true	235.847601	236.0375387771055	312.840192	144107
