tool	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set	SMPMC	SMPMC	SMPMC	SMPMC	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)
../../benchmarks/files/benchmark-q2-tree/	status	cputime (s)	walltime (s)	memUsage	status	cputime (s)	walltime (s)	memUsage
benchmark-q2-tree-sat_drone-4-1.yml	TIMEOUT	1800.606443	1801.734682360664		TIMEOUT	1800.61037	1801.0043312357739	
benchmark-q2-tree-sat_drone-4-2.yml	TIMEOUT	1800.065239	1809.6472669020295		TIMEOUT	1800.613814	1801.003406662494	
benchmark-q2-tree-sat_drone-8-2.yml	TIMEOUT	1800.620458	1801.0215228516608		TIMEOUT	1800.659269	1800.9899639571086	
benchmark-q2-tree-sat_grid-avoid-4-0.1.yml	true	0.503624	0.9420795375481248		true	0.570756	0.9932351335883141	
benchmark-q2-tree-sat_hallway.yml	TIMEOUT	1759.956713	1831.0034086024389		TIMEOUT	1762.002174	1831.0018886206672	
benchmark-q2-tree-sat_maze-alex.yml	true	2.03773	2.5344692757353187		TIMEOUT	1800.610959	1800.9724640324712	
benchmark-q2-tree-sat_nrp-8.yml	true	0.550357	0.9797500483691692		true	0.70953	1.1006280118599534	
benchmark-q2-tree-sat_refuel-06.yml	true	54.680513	55.197804872877896		true	1391.689821	1392.1836149105802	
benchmark-q2-tree-sat_refuel-20.yml	true	1211.247473	1212.3318383628502		TIMEOUT	1800.72171	1800.9688074002042	
benchmark-q2-tree-sat_rocks-12.yml	true	62.426693	62.875296854414046		TIMEOUT	1800.610041	1800.9766896888614	
