   BENCHMARK INFORMATION
benchmark definition:    comparison_simple.xml
name:                    comparison_simple
run sets:                SMPMC, PAYNT-AR, PAYNT-CEGIS, PAYNT-Hybrid, SMT(LRA)
date:                    Thu, 2025-07-24 15:01:43 UTC
tool:                    synthesis
tool executable:         /home/lheck/.local/share/virtualenvs/molehill-U9ijTdgT/bin/python3
options:
parallel runs:           26
resource limits:
- memory:                16000.0 MB
- time:                  1800 s
hardware requirements:
- memory:                16000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    localhost
os:                      Linux-6.1.0-23-amd64-x86_64-with-glibc2.36
cpu:                     AMD Ryzen Threadripper PRO 5965WX 24-Cores
- cores:                 48
- max frequency:         3800.0 MHz
- turbo boost enabled:   False
ram:                     540660.658176 MB
------------------------------------------------------------



SMPMC
Run set 1 of 5 with options '-m molehill --ce none' and propertyfile 'None'

inputfile                                    status                       cpu time   wall time        host
pomdps-unsat_mem_1_grid-avoid-4-0.1_1.yml    false                            0.55        0.75        None
pomdps-unsat_mem_1_hallway_1.yml             TIMEOUT                       1800.62     1800.93        None
pomdps-unsat_mem_1_maze-alex_1.yml           false                            1.24        1.43        None
pomdps-unsat_mem_1_milos-aaai97_1.yml        false                           10.91       11.11        None
pomdps-unsat_mem_1_network_1.yml             false                            0.54        0.79        None
pomdps-unsat_mem_1_nrp-8_1.yml               false                            0.47        0.65        None
pomdps-unsat_mem_1_query-s2_1.yml            false                            0.60        0.80        None
pomdps-unsat_mem_1_query-s3_1.yml            false                            1.19        1.36        None
pomdps-unsat_mem_1_refuel-06_1.yml           false                            3.36        3.58        None
pomdps-unsat_mem_1_refuel-20_1.yml           TIMEOUT                       1800.73     1801.02        None
pomdps-unsat_mem_1_rocks-12_1.yml            TIMEOUT                       1800.67     1800.99        None
pomdps-unsat_mem_2_4x3-95_2.yml              false                           18.66       18.86        None
pomdps-unsat_mem_2_4x5x2-95_2.yml            false                            7.34        7.55        None
pomdps-unsat_mem_2_grid-avoid-4-0.1_2.yml    false                            0.65        0.85        None
pomdps-unsat_mem_2_maze-alex_2.yml           false                            5.43        5.61        None
pomdps-unsat_mem_2_milos-aaai97_2.yml        false                           11.86       12.04        None
pomdps-unsat_mem_2_network_2.yml             false                            1.39        1.59        None
pomdps-unsat_mem_2_nrp-8_2.yml               false                          363.75      363.96        None
pomdps-unsat_mem_2_query-s2_2.yml            false                            1.85        2.05        None
pomdps-unsat_mem_2_query-s3_2.yml            false                          258.48      258.68        None
pomdps-unsat_mem_2_refuel-06_2.yml           TIMEOUT                       1800.98     1801.24        None
pomdps-unsat_mem_3_4x3-95_3.yml              false                          660.99      661.18        None
pomdps-unsat_mem_3_4x5x2-95_3.yml            false                          281.01      281.22        None
pomdps-unsat_mem_3_grid-avoid-4-0.1_3.yml    false                            1.38        1.59        None
pomdps-unsat_mem_3_maze-alex_3.yml           false                            0.63        0.85        None
pomdps-unsat_mem_3_network_3.yml             false                          328.97      329.19        None
pomdps-unsat_mem_3_query-s2_3.yml            false                          206.30      206.52        None
pomdps-unsat_mem_3_query-s3_3.yml            false                          222.63      222.84        None
pomdps-unsat_mem_3_refuel-06_3.yml           TIMEOUT                       1800.80     1801.07        None
pomdps-unsat_mem_4_4x3-95_4.yml              TIMEOUT                       1800.71     1800.96        None
pomdps-unsat_mem_4_grid-avoid-4-0.1_4.yml    false                            7.99        8.18        None
----------------------------------------------------------------------------------------------------------
Run set 1                                    done                         38136.97     2154.39           -


PAYNT-AR
Run set 2 of 5 with options 'build/paynt/paynt.py --method ar' and propertyfile 'None'

inputfile                                    status                       cpu time   wall time        host
----------------------------------------------------------------------------------------------------------
jair-sat_box-pushing-1fsc.yml                true                             2.92        3.68        None
