tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			SMPMC	SMPMC	SMPMC	SMPMC	SMPMC	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-AR	PAYNT-AR	PAYNT-AR	PAYNT-AR	PAYNT-AR
benchmarks/files/simple-q1/			status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
jair-sat_box-pushing-1fsc.yml	sat	true	true	3.205922	4.0586029924452305	201.601024	166	TIMEOUT	1800.653439	1801.5030385721475	1163.579392		unknown	3.026938	3.793167293071747	159.825920		unknown	2.855242	3.5501207560300827	159.793152		true	2.924662	3.678124040365219	164.487168	18
jair-sat_box-pushing-2fsc.yml	sat	true	true	483.26004	484.0927270920947	360.747008	28468	TIMEOUT	1800.831017	1801.8081696275622	4828.033024		unknown	10.153891	10.926683915778995	251.928576		unknown	8.306743	9.039207155816257	252.129280		true	15.74506	16.521752513945103	930.336768	130
jair-sat_dpm.yml	sat	true	true	2.367502	3.217177419923246	239.890432	44	TIMEOUT	1800.688066	1801.6766344150528	1404.985344		true	2.286295	3.053057895042002	374.697984	43	true	1.008906	1.7007365254685283	219.197440	1	true	1.622313	2.3657692447304726	282.673152	7
jair-sat_grid-10-sl-4fsc.yml	sat	true	true	0.654624	1.4841293981298804	160.112640	20	TIMEOUT	1800.696233	1801.5796775743365	1219.424256		TIMEOUT	1800.594145	1801.4506815662608	159.178752		true	0.656114	1.3587867636233568	149.676032	117	TIMEOUT	1800.596082	1801.389038185589	135.925760	
jair-sat_grid-meet-sl-2fsc.yml	sat	true	true	14.29133	15.221807622350752	1010.880512	1060	TIMEOUT	1800.898431	1801.8005659440532	11149.664256		TIMEOUT	1800.855316	1801.6874668514356	7104.413696		true	39.864012	40.55475110653788	639.913984	3964	true	761.889567	762.700036319904	4339.372032	22224
jair-sat_grid.yml	sat	true	true	0.661731	1.5340330703184009	156.504064	211	true	1144.985408	1145.9303594399244	224.309248		true	3.506663	4.252401314675808	159.551488	6757	true	0.753662	1.4193972824141383	147.177472	227	true	1.586547	2.3282973850145936	133.582848	2176
jair-sat_grid3x3-1fsc.yml	sat	true	true	3.703901	4.5716684106737375	212.205568	257	TIMEOUT	1800.712258	1801.5922818835825	2074.677248		unknown	0.784811	1.5269473157823086	149.680128		unknown	0.639288	1.3099689027294517	149.524480		true	1.18167	1.9264065911993384	216.756224	20
jair-sat_grid3x3-2fsc.yml	sat	true	true	27.274768	28.106144324876368	509.747200	427	TIMEOUT	1800.646885	1801.5107890646905	1486.106624		unknown	2.951234	3.6690463246777654	326.033408		unknown	2.696989	3.378334369510412	325.808128		true	7.96791	8.67770912218839	576.622592	52
jair-sat_herman.yml	sat	true	true	38.25811	39.13116621505469	1056.935936	19	TIMEOUT	1800.82581	1801.755172581412	7219.802112		true	1218.068098	1218.8751858947799	10056.839168	50016	true	44.16257	44.85597510263324	887.377920	39	true	37.834018	38.56406958773732	903.131136	3
jair-sat_maze-sl-5.yml	sat	true	TIMEOUT	1800.613686	1801.5553865600377	425.627648		TIMEOUT	1800.602439	1801.4177664741874	226.340864		TIMEOUT	1800.60173	1801.3378454772756	140.042240		TIMEOUT	1800.604701	1801.4170817807317	234.053632		TIMEOUT	1800.594666	1801.3572347918525	133.738496	
jair-sat_maze.yml	sat	true	true	0.560122	1.4042036784812808	156.106752	57	TIMEOUT	1800.601995	1801.4072213927284	180.146176		TIMEOUT	1800.599914	1801.3319554701447	139.829248		true	14.075486	14.752690084278584	147.087360	4300	TIMEOUT	1800.594807	1801.3273806478828	133.636096	
jair-sat_pole-res.yml	sat	true	true	0.680667	1.4727149941027164	172.380160	25	TIMEOUT	1800.642718	1801.4947411520407	653.467648		unknown	0.509558	1.1996792815625668	133.599232		unknown	0.529994	1.207881037145853	133.582848		true	0.791099	1.4922545058652759	182.968320	12
jair-sat_pole.yml	sat	true	true	1.599607	2.379145549610257	181.080064	189	TIMEOUT	1800.644187	1801.4588838908821	895.447040		unknown	0.558779	1.2317499686032534	136.581120		unknown	0.518576	1.2014054609462619	136.675328		true	0.918755	1.600125023163855	209.784832	12
jair-sat_recycling-2fsc.yml	sat	true	true	0.559411	1.3388389656320214	156.459008	32	TIMEOUT	1800.604987	1801.4363049510866	248.578048		unknown	0.4888	1.1557474937289953	133.697536		unknown	0.478904	1.1550507051870227	133.558272		true	0.46412	1.141658492386341	133.853184	9
jair-sat_recycling-3fsc.yml	sat	true	true	0.617708	1.3773993300274014	157.413376	51	TIMEOUT	1800.632824	1801.4008825020865	584.900608		unknown	0.437453	1.0773243037983775	133.816320		unknown	0.509362	1.1829491751268506	133.648384		true	0.492604	1.1332465391606092	133.738496	12
jair-sat_refuel-06-res.yml	sat	true	true	1.539189	2.218693365342915	157.229056	582	TIMEOUT	1800.605691	1801.3739920789376	240.844800		true	0.754881	1.3904986875131726	157.446144	54	TIMEOUT	1800.60029	1801.5108516616747	239.919104		true	0.60071	1.2638563886284828	134.369280	11
jair-sat_tiny_rewards.yml	sat	true	true	0.462718	1.1548627642914653	155.836416	1	true	0.457384	1.2381793642416596	156.946432		unknown	0.457231	1.0950290150940418	133.701632		unknown	0.493019	1.1597558809444308	133.611520		true	0.42601	1.065015347674489	133.513216	1
pomdps-sat_mem_1_4x3-95_1.yml	sat	true	true	0.593855	1.301441083662212	140.558336	256	false	1267.002246	1267.7023119321093	175.484928		unknown	0.410829	1.0363782979547977	103.264256		unknown	0.420208	1.095220579765737	103.043072		true	0.37525	1.0137357162311673	105.357312	7
pomdps-sat_mem_1_4x5x2-95_1.yml	sat	true	true	0.516536	1.2020187731832266	140.644352	2	true	1.320064	2.0100856320932508	147.329024		unknown	0.429387	1.0095592541620135	103.231488		unknown	0.400546	1.0681636277586222	103.124992		true	0.429316	1.0744803175330162	105.324544	6
pomdps-sat_mem_1_drone-4-1_1.yml	sat	true	TIMEOUT	1800.714585	1801.692130238749	4132.106240		TIMEOUT	1800.618968	1801.3575028702617	292.753408		TIMEOUT	1800.610955	1801.2198739377782	219.115520		TIMEOUT	1800.603271	1801.434601282701	251.265024		true	3.55881	4.125624053180218	146.456576	728
