   BENCHMARK INFORMATION
benchmark definition:    comparison_simple.xml
name:                    comparison_simple
run sets:                SMPMC, PAYNT-AR, PAYNT-CEGIS, PAYNT-Hybrid, SMT(LRA), SMPMC
date:                    Mon, 2025-07-21 16:26:29 UTC
tool:                    synthesis
tool executable:         /home/lheck/.local/share/virtualenvs/molehill-U9ijTdgT/bin/python3
options:
parallel runs:           26
resource limits:
- memory:                16000.0 MB
- time:                  1800 s
hardware requirements:
- memory:                16000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    localhost
os:                      Linux-6.1.0-23-amd64-x86_64-with-glibc2.36
cpu:                     AMD Ryzen Threadripper PRO 5965WX 24-Cores
- cores:                 48
- max frequency:         3800.0 MHz
- turbo boost enabled:   False
ram:                     540660.658176 MB
------------------------------------------------------------



SMPMC
Run set 1 of 6 with options '-m molehill --ce none' and propertyfile 'None'

inputfile                                    status                       cpu time   wall time        host
pomdps-unsat_mem_1_grid-avoid-4-0.1_1.yml    false                            0.63        0.85        None
pomdps-unsat_mem_1_hallway_1.yml             TIMEOUT                       1800.62     1800.87        None
pomdps-unsat_mem_1_maze-alex_1.yml           false                            1.34        1.59        None
pomdps-unsat_mem_1_milos-aaai97_1.yml        false                           11.54       11.73        None
pomdps-unsat_mem_1_network_1.yml             false                            0.47        0.69        None
pomdps-unsat_mem_1_nrp-8_1.yml               false                            0.66        0.86        None
pomdps-unsat_mem_1_query-s2_1.yml            false                            0.62        0.80        None
pomdps-unsat_mem_1_query-s3_1.yml            false                            1.50        1.70        None
pomdps-unsat_mem_1_refuel-06_1.yml           false                            3.36        3.51        None
pomdps-unsat_mem_1_refuel-20_1.yml           TIMEOUT                       1800.72     1801.00        None
pomdps-unsat_mem_1_rocks-12_1.yml            TIMEOUT                       1800.66     1800.98        None
pomdps-unsat_mem_2_4x3-95_2.yml              false                           22.01       22.20        None
pomdps-unsat_mem_2_4x5x2-95_2.yml            false                            7.30        7.49        None
pomdps-unsat_mem_2_grid-avoid-4-0.1_2.yml    false                            0.66        0.86        None
pomdps-unsat_mem_2_maze-alex_2.yml           false                            6.25        6.50        None
pomdps-unsat_mem_2_milos-aaai97_2.yml        false                            8.94        9.11        None
pomdps-unsat_mem_2_network_2.yml             false                            1.55        1.75        None
pomdps-unsat_mem_2_nrp-8_2.yml               false                          329.80      330.02        None
pomdps-unsat_mem_2_query-s2_2.yml            false                            1.20        1.37        None
pomdps-unsat_mem_2_query-s3_2.yml            false                          223.59      223.80        None
pomdps-unsat_mem_2_refuel-06_2.yml           TIMEOUT                       1800.98     1801.23        None
pomdps-unsat_mem_3_4x3-95_3.yml              false                          663.12      663.34        None
pomdps-unsat_mem_3_4x5x2-95_3.yml            false                          279.34      279.54        None
pomdps-unsat_mem_3_grid-avoid-4-0.1_3.yml    false                            1.10        1.32        None
pomdps-unsat_mem_3_maze-alex_3.yml           false                            0.62        0.80        None
pomdps-unsat_mem_3_network_3.yml             false                          277.04      277.24        None
pomdps-unsat_mem_3_query-s2_3.yml            false                          232.42      232.62        None
pomdps-unsat_mem_3_query-s3_3.yml            false                          185.64      185.84        None
pomdps-unsat_mem_3_refuel-06_3.yml           TIMEOUT                       1800.81     1801.08        None
pomdps-unsat_mem_4_4x3-95_4.yml              TIMEOUT                       1800.71     1800.94        None
pomdps-unsat_mem_4_grid-avoid-4-0.1_4.yml    false                            7.86        8.04        None
----------------------------------------------------------------------------------------------------------
Run set 1                                    done                         37960.08     2149.88           -


PAYNT-AR
Run set 2 of 6 with options 'build/paynt/paynt.py --method ar' and propertyfile 'None'

inputfile                                    status                       cpu time   wall time        host
----------------------------------------------------------------------------------------------------------
jair-sat_box-pushing-1fsc.yml                true                             2.90        3.64        None
jair-sat_box-pushing-2fsc.yml                true                            16.42       17.17        None
jair-sat_dpm.yml                             true                             1.50        2.23        None
jair-sat_grid-10-sl-4fsc.yml                 TIMEOUT                       1800.60     1801.40        None
jair-sat_grid-meet-sl-2fsc.yml               true                           738.60      739.35        None
jair-sat_grid.yml                            true                             1.51        2.23        None
jair-sat_grid3x3-1fsc.yml                    true                             1.25        1.96        None
jair-sat_grid3x3-2fsc.yml                    true                             7.92        8.61        None
jair-sat_herman.yml                          true                            44.96       45.66        None
jair-sat_maze-sl-5.yml                       TIMEOUT                       1800.59     1801.34        None
jair-sat_maze.yml                            TIMEOUT                       1800.60     1801.33        None
jair-sat_pole-res.yml                        true                             0.83        1.49        None
jair-sat_pole.yml                            true                             1.00        1.66        None
jair-sat_recycling-2fsc.yml                  true                             0.45        1.10        None
jair-sat_recycling-3fsc.yml                  true                             0.59        1.22        None
jair-sat_refuel-06-res.yml                   true                             0.54        1.17        None
