tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-AR	PAYNT-AR	PAYNT-AR	PAYNT-AR	PAYNT-AR	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMPMC	SMPMC	SMPMC	SMPMC	SMPMC
benchmarks/files/simple-q1/			status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
jair-sat_box-pushing-1fsc.yml	sat	true	unknown	2.847782	3.609042980708182	160.567296		unknown	2.881511	3.6059851897880435	160.116736		true	2.904006	3.641648636199534	164.286464	18	TIMEOUT	1800.659344	1801.5439082924277	1187.581952		true	3.508797	4.3439216781407595	198.053888	166
jair-sat_box-pushing-2fsc.yml	sat	true	unknown	8.668157	9.407899073325098	252.428288		unknown	8.3657	9.100379639305174	252.383232		true	16.415817	17.167783360928297	930.070528	130	TIMEOUT	1800.774836	1801.6775084277615	4244.103168		true	470.378292	471.15558911301196	357.871616	28468
jair-sat_dpm.yml	sat	true	true	1.106836	1.8765785619616508	219.475968	1	true	2.203185	2.922488084062934	375.140352	42	true	1.503216	2.2274939492344856	282.812416	7	TIMEOUT	1800.658308	1801.5376840960234	1405.378560		true	2.610569	3.4600196816027164	239.431680	44
jair-sat_grid-10-sl-4fsc.yml	sat	true	true	0.716156	1.4590023290365934	149.889024	117	TIMEOUT	1800.598649	1801.3793394118547	161.898496		TIMEOUT	1800.595629	1801.3962599011138	136.302592		TIMEOUT	1800.694687	1801.605387320742	1138.446336		true	0.680216	1.4384807236492634	156.377088	20
jair-sat_grid-meet-sl-2fsc.yml	sat	true	true	39.753043	40.50227866601199	640.630784	3964	TIMEOUT	1800.839548	1801.6403451152146	7311.650816		true	738.603199	739.3496038671583	4343.279616	22224	TIMEOUT	1800.929353	1801.7594917938113	11137.052672		true	14.231378	15.015764143317938	1007.853568	1060
jair-sat_grid3x3-1fsc.yml	sat	true	unknown	0.686806	1.3925932087004185	149.995520		unknown	0.673952	1.3908101543784142	149.901312		true	1.2547	1.955755341798067	217.014272	20	TIMEOUT	1800.744062	1801.5364655619487	2156.814336		true	3.583142	4.350738889537752	209.752064	257
jair-sat_grid3x3-2fsc.yml	sat	true	unknown	2.778245	3.4937167707830667	326.176768		unknown	2.451181	3.148904769681394	326.381568		true	7.915131	8.609094467945397	576.958464	52	TIMEOUT	1800.663246	1801.5180786456913	1484.689408		true	27.703593	28.46826012339443	513.445888	427
jair-sat_herman.yml	sat	true	true	36.490276	37.18008841294795	899.166208	39	true	1232.802143	1233.5397801343352	9976.434688	49077	true	44.962886	45.65752838924527	899.170304	3	TIMEOUT	1800.848112	1801.6326202712953	7217.594368		true	38.680519	39.46900424081832	1066.188800	19
jair-sat_maze.yml	sat	true	true	14.662911	15.343262061476707	147.378176	4300	TIMEOUT	1800.603246	1801.3146410388872	140.062720		TIMEOUT	1800.599858	1801.3269448531792	134.041600		TIMEOUT	1800.60199	1801.372083160095	176.549888		true	0.580005	1.332281792536378	151.629824	57
jair-sat_pole-res.yml	sat	true	unknown	0.514598	1.1772951986640692	133.570560		unknown	0.515315	1.1636041412129998	133.918720		true	0.825579	1.4912770809605718	183.308288	12	TIMEOUT	1800.645705	1801.4308933699504	646.672384		true	0.825395	1.5765639897435904	169.361408	25
jair-sat_pole.yml	sat	true	unknown	0.554345	1.230708109214902	136.867840		unknown	0.541679	1.2008542018011212	137.060352		true	0.998096	1.6592674534767866	210.219008	12	TIMEOUT	1800.649858	1801.3967667138204	892.461056		true	1.712449	2.3942999122664332	178.360320	189
jair-sat_recycling-2fsc.yml	sat	true	unknown	0.46553	1.1056034620851278	133.918720		unknown	0.454434	1.1043968545272946	133.976064		true	0.450369	1.1010703798383474	134.033408	9	TIMEOUT	1800.614747	1801.402194163762	244.834304		true	0.528075	1.2525431215763092	151.920640	32
jair-sat_recycling-3fsc.yml	sat	true	unknown	0.473366	1.11735153850168	134.053888		unknown	0.444987	1.0842987149953842	134.242304		true	0.591925	1.2200625212863088	134.139904	12	TIMEOUT	1800.634533	1801.4412193149328	537.657344		true	0.605954	1.2820551916956902	153.776128	51
jair-sat_refuel-06-res.yml	sat	true	TIMEOUT	1800.605166	1801.4092535655946	231.022592		true	0.815609	1.4672816758975387	157.675520	54	true	0.537075	1.166946948505938	134.635520	11	TIMEOUT	1800.602862	1801.3961545480415	237.301760		true	1.53908	2.225401099771261	153.972736	582
