tool	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	SMPMC	SMPMC	SMPMC	SMPMC	SMPMC
benchmarks/files/benchmark-q2-tree/	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
benchmark-q2-tree-sat_drone-4-1.yml	TIMEOUT	1800.611174	1801.0106972092763	454.832128		TIMEOUT	1800.612278	1800.9825298674405	298.438656	2684	TIMEOUT	1800.558586	1802.482448973693	2200.227840	5
benchmark-q2-tree-sat_drone-4-2.yml	TIMEOUT	1800.609878	1801.009750213474	492.531712		TIMEOUT	1800.616618	1800.9682537745684	276.221952	116	TIMEOUT	1800.670684	1801.8565335478634	2810.363904	5
benchmark-q2-tree-sat_drone-8-2.yml	TIMEOUT	1800.616628	1801.0034011863172	935.063552		TIMEOUT	1800.620755	1800.9732277179137	669.097984	164	TIMEOUT	1800.644477	1801.1420058403164	994.054144	5
benchmark-q2-tree-sat_grid-avoid-4-0.1.yml	true	0.514844	0.9242366580292583	193.335296		true	0.381957	0.6631943909451365	151.748608	1	true	0.442276	0.8606341071426868	188.760064	2
benchmark-q2-tree-sat_hallway.yml	TIMEOUT	1754.063951	1830.0372936371714	198.819840		TIMEOUT	1760.571647	1830.9949490176514	191.148032		TIMEOUT	1749.885091	1830.1652112361044	199.180288	
benchmark-q2-tree-sat_maze-alex.yml	TIMEOUT	1800.609903	1801.0226363828406	167.428096		true	8.28149	8.586947411298752	153.083904	1355	true	1.814647	2.3892887216061354	192.540672	5
benchmark-q2-tree-sat_nrp-8.yml	true	0.656377	1.042943175882101	193.728512		true	0.386564	0.639648238196969	152.031232	2	true	0.472868	0.9141957359388471	190.734336	2
benchmark-q2-tree-sat_refuel-06.yml	true	1269.359991	1269.8705681040883	307.298304		true	249.759417	250.08184461016208	169.779200	1413	true	53.791383	54.32517553213984	253.202432	1
benchmark-q2-tree-sat_refuel-20.yml	TIMEOUT	1800.746084	1801.0125283738598	2111.483904		true	4.037677	4.317467894405127	173.735936	34	true	1177.327441	1178.4933021487668	1050.669056	1
benchmark-q2-tree-sat_rocks-12.yml	TIMEOUT	1800.612252	1800.9726370088756	852.004864		true	31.328532	31.607548438943923	366.641152	3	true	62.788403	63.27843837160617	449.159168	1
