tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			PAYNT-AR-1-by-1	PAYNT-AR-1-by-1	PAYNT-AR-1-by-1	PAYNT-AR-1-by-1	PAYNT-AR-1-by-1	SMPMC	SMPMC	SMPMC	SMPMC	SMPMC	PAYNT-AR-MDP-Eval	PAYNT-AR-MDP-Eval	PAYNT-AR-MDP-Eval	PAYNT-AR-MDP-Eval	PAYNT-AR-MDP-Eval	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)
benchmarks/files/robust-q3/			status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
mdp-families-sat_mem_1_avoid-8-2-big-family_1.yml	sat	true	TIMEOUT	1801.018057	1801.8717076778412	1596.157952		SEGMENTATION FAULT	145.51479	150.61728074774146	2143.629312		TIMEOUT	1800.575054	1801.7747545614839	399.355904		TIMEOUT	1800.772585	1801.6396620543674	2539.536384	
mdp-families-sat_mem_1_avoid-8-2-easy-big-family_1.yml	sat	true	TIMEOUT	1800.722042	1801.5561500899494	307.290112		SEGMENTATION FAULT	271.597318	275.5600519971922	1340.477440		TIMEOUT	1800.674529	1801.665404691361	2181.488640		TIMEOUT	1800.77615	1801.6996848331764	2487.005184	
mdp-families-sat_mem_1_avoid-8-2-easy_1.yml	sat	true	TIMEOUT	1800.815417	1801.8961927304044	1379.160064		SEGMENTATION FAULT	132.519103	137.06327296514064	1891.344384		TIMEOUT	1800.633663	1801.5484484331682	567.934976		TIMEOUT	1800.771657	1801.6512727905065	2481.283072	
mdp-families-sat_mem_1_avoid-8-2_1.yml	sat	true	TIMEOUT	1800.74149	1801.6285232715309	1006.813184		SEGMENTATION FAULT	133.114393	137.68793171923608	1885.839360		TIMEOUT	1800.664092	1801.5541677223518	1172.656128		TIMEOUT	1800.792108	1801.67302364856	2488.197120	
mdp-families-sat_mem_1_catch-5_1.yml	sat	true	true	3.442192	4.172841132618487	135.864320	3546	TIMEOUT	1803.461872	1804.9278311403468	5261.488128		TIMEOUT	1800.607752	1801.5128602683544	160.464896		OUT OF MEMORY	215.160583	215.99182228837162	15997.931520	
mdp-families-sat_mem_1_dpm-switch-q10-big-big-family_1.yml	sat	true	true	1188.33032	1189.0980364354327	459.272192	131220	TIMEOUT	1802.624591	1803.7955029159784	4868.907008		true	319.543586	320.2628799350932	351.739904	2	TIMEOUT	1800.67388	1801.6057335641235	1109.331968	
mdp-families-sat_mem_1_dpm-switch-q10-big-family_1.yml	sat	true	true	988.347288	989.0967785809189	147.795968	803450	true	878.773842	880.6395269110799	1288.994816	40197	TIMEOUT	1800.609543	1801.5384511807933	152.068096		OUT OF MEMORY	1017.277974	1022.0039133122191	15995.834368	
mdp-families-sat_mem_1_dpm-switch-q10-big_1.yml	sat	true	true	134.014613	134.71941529773176	192.479232	23718	TIMEOUT	1802.609951	1803.7724188258871	5430.595584		true	3.721322	4.41225272230804	208.674816	198	TIMEOUT	1800.67083	1801.5122329099104	988.901376	
mdp-families-sat_mem_1_dpm-switch-q10_1.yml	sat	true	true	42.654379	43.347126762382686	135.532544	36829	TIMEOUT	1802.429239	1804.9050704799592	4287.934464		TIMEOUT	1800.60424	1801.5198671333492	138.776576		OUT OF MEMORY	345.923805	347.1772059770301	16000.000000	
mdp-families-sat_mem_1_obstacles-10-6-skip-easy-big-family_1.yml	sat	true	TIMEOUT	1801.420665	1802.2323506902903	3463.032832		true	25.833328	26.63408287614584	282.865664	17531	TIMEOUT	1800.612587	1801.4428090369329	135.843840		TIMEOUT	1800.686899	1801.4705621954054	1186.459648	
mdp-families-sat_mem_1_obstacles-10-6-skip-easy_1.yml	sat	true	TIMEOUT	1800.770477	1801.5382312843576	135.954432		true	12.628981	13.402462780475616	206.340096	6853	TIMEOUT	1800.608372	1801.47925223317	135.815168		TIMEOUT	1800.678355	1801.5161309493706	1058.643968	
mdp-families-sat_mem_1_obstacles-demo_1.yml	sat	true	true	0.407046	1.0774680227041245	135.909376	12	TIMEOUT	1801.038006	1803.4885520106182	1948.598272		true	0.420707	1.0809981916099787	135.966720	9	TIMEOUT	1800.604967	1801.4108088174835	187.441152	
mdp-families-sat_mem_1_pacman-6_1.yml	sat	true	true	1.280372	1.9318052660673857	135.876608	429	TIMEOUT	1803.592891	1805.492534247227	5935.042560		true	9.323078	9.98625246156007	148.156416	5131	OUT OF MEMORY	664.156504	664.9911179859191	16000.000000	
mdp-families-sat_mem_1_rocks-4-2_1.yml	sat	true	true	0.416666	1.063580165617168	135.770112	101	true	3.561874	4.3058901419863105	171.171840	4590	true	4.169231	4.818324873223901	135.737344	6949	TIMEOUT	1800.610748	1801.3827030081302	296.644608	
mdp-families-sat_mem_1_rocks-6-4-big-family_1.yml	sat	true	TIMEOUT	1800.686699	1801.4176658764482	146.182144		TIMEOUT	1802.925965	1804.9934569168836	3890.118656		TIMEOUT	1800.617137	1801.438686069101	252.841984		OUT OF MEMORY	237.440649	239.09582500625402	16000.000000	
mdp-families-sat_mem_1_rocks-6-4_1.yml	sat	true	true	1.385366	2.018044652417302	135.589888	256	TIMEOUT	1802.871338	1804.6653484832495	4218.830848		true	21.174354	21.799073062837124	244.219904	3976	OUT OF MEMORY	196.990752	198.39539573993534	16000.000000	
mdp-families-sat_mem_1_rocks-8-1_1.yml	sat	true	true	0.494178	1.1149409338831902	135.819264	130	true	6.368406	7.0460874903947115	176.738304	7131	true	0.739823	1.3341588890179992	135.671808	720	TIMEOUT	1800.621032	1801.3730155453086	316.809216	
mdp-families-sat_mem_1_rover-100-big-big-family_1.yml	sat	true	OUT OF MEMORY	72.18626	76.67142874840647	16000.000000		true	0.810733	1.479034662246704	218.128384	18	TIMEOUT	1800.615632	1801.3310993658379	156.762112		OUT OF MEMORY	414.74596	418.5145358350128	16000.000000	
mdp-families-sat_mem_1_rover-100-big_1.yml	sat	true	true	0.730073	1.3358606211841106	135.815168	216	true	0.635201	1.3384593790397048	176.803840	5	true	0.581074	1.1510961623862386	135.684096	2	TIMEOUT	1800.794488	1801.5809720577672	2527.367168	
mdp-families-sat_mem_1_rover-1000-big-family_1.yml	sat	true	TIMEOUT	1801.544873	1802.2765525644645	4931.870720		true	4.770209	5.428491015918553	871.759872	19	TIMEOUT	1800.638425	1801.3912209831178	651.628544		TIMEOUT	1800.705526	1801.3980533340946	1191.620608	
mdp-families-sat_mem_1_rover-1000_1.yml	sat	true	true	3.531456	4.122154056094587	173.817856	648	true	1.978317	2.55988987442106	285.327360	8	true	1.928196	2.496206601150334	184.623104	2	TIMEOUT	1800.66137	1801.4330972656608	784.408576	
mdp-families-sat_mem_1_uav-operator-roz-workload_1.yml	sat	true	true	9.930056	10.479010871611536	246.153216	540	TIMEOUT	1803.086721	1803.9805630836636	6108.352512		true	4.698114	5.259950949810445	384.315392	76	TIMEOUT	1800.724006	1801.4179418655112	1379.082240	
mdp-families-sat_mem_1_uav-roz-big-family_1.yml	sat	true	true	137.77386	138.3185238437727	600.829952	4500	OUT OF MEMORY	747.322193	748.0254178093746	16000.000000		true	34.641509	35.197924910113215	712.994816	5	TIMEOUT	1801.019693	1801.7114751059562	5482.008576	
mdp-families-sat_mem_1_uav-roz_1.yml	sat	true	true	7.628296	8.174781923182309	246.435840	432	TIMEOUT	1803.686297	1804.5060740141198	6982.823936		true	4.237421	4.809947359375656	329.179136	36	TIMEOUT	1800.717996	1801.4551552049816	1380.220928	
mdp-families-sat_mem_1_virus-big-family_1.yml	sat	true	unknown	243.570409	244.12591032590717	309.776384		true	2.907647	3.4909050092101097	405.798912	17	unknown	2.368471	2.9346221005544066	316.882944		TIMEOUT	1800.629306	1801.3629069440067	403.050496	
other-sat_box-pushing.yml	sat	true	TIMEOUT	1800.746977	1801.0134842656553	291.098624		true	54.850787	55.01524308696389	358.653952	3909	TIMEOUT	1800.639515	1800.9261870896444	304.328704		TIMEOUT	1800.647748	1800.8280733618885	1673.273344	
other-sat_dpm.yml	sat	true	TIMEOUT	1800.856807	1801.097061464563	1359.372288		true	19.407429	19.579645805060863	1348.304896	242	true	51.502037	51.64955040067434	2150.227968	171	TIMEOUT	1800.68214	1800.936535652727	3557.990400	
other-sat_maze.yml	sat	true	true	0.445966	0.5730185331776738	135.847936	27	true	5.327289	5.523764032870531	170.643456	4423	true	0.558849	0.7054830435663462	135.843840	29	TIMEOUT	1800.62102	1800.8714803466573	278.306816	
pomdp-families-sat_mem_1_dpm-switch-q10_1.yml	sat	true	true	36.716002	36.84856946580112	135.909376	66985	true	0.75278	0.9803531542420387	176.214016	205	true	3.541263	3.6989912260323763	135.864320	806	TIMEOUT	1800.63005	1800.895143210888	448.622592	
pomdp-families-sat_mem_1_dpm_1.yml	sat	true	true	394.850158	395.0091241020709	267.829248	252373	true	1.156693	1.3231933424249291	181.678080	249	true	119.130831	119.28887218609452	144.154624	4334	TIMEOUT	1800.634114	1800.912030339241	819.150848	
pomdp-families-sat_mem_1_refuel-04_1.yml	sat	true	true	0.397052	0.5356776705011725	135.999488	25	true	0.795621	0.9829043848440051	171.061248	551	true	0.360258	0.4714314518496394	135.888896	30	TIMEOUT	1800.621496	1800.9097807146609	291.934208	
pomdp-families-sat_mem_1_rover-100_1.yml	sat	true	true	1.76538	1.9126487132161856	136.011776	1730	true	0.555204	0.7460712194442749	184.291328	7	true	1.449899	1.5984577992931008	135.950336	4	false	356.254407	356.443581238389	924.180480	
