tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			SMPMC	SMPMC	SMPMC	SMPMC	PAYNT-AR-1-by-1	PAYNT-AR-1-by-1	PAYNT-AR-1-by-1	PAYNT-AR-1-by-1
../../benchmarks/files/robust-q3/			status	cputime (s)	walltime (s)	memUsage	status	cputime (s)	walltime (s)	memUsage
mdp-families-unsat_mem_1_dpm-switch-q10-big-big-family_1.yml	unsat	false	TIMEOUT	30000	30000		false	227.508326	227.66571757756174	
mdp-families-unsat_mem_1_dpm-switch-q10-big-family_1.yml	unsat	false	false	0.718388	0.9371908456087112		TIMEOUT	30000	30000	
mdp-families-unsat_mem_1_dpm-switch-q10-big_1.yml	unsat	false	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
mdp-families-unsat_mem_1_dpm-switch-q10_1.yml	unsat	false	false	35.07493	35.362020823173225		TIMEOUT	30000	30000	
mdp-families-unsat_mem_1_obstacles-10-6-skip-easy-big-family_1.yml	unsat	false	false	35.263156	35.51897915266454		TIMEOUT	30000	30000	
mdp-families-unsat_mem_1_obstacles-10-6-skip-easy_1.yml	unsat	false	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
mdp-families-unsat_mem_1_obstacles-demo_1.yml	unsat	false	false	0.585676	0.7681936658918858		false	0.468264	0.6204056246206164	
mdp-families-unsat_mem_1_rover-100-big-big-family_1.yml	unsat	false	false	1.087469	1.2888991823419929		OUT OF MEMORY	30000	30000	
mdp-families-unsat_mem_1_rover-100-big_1.yml	unsat	false	false	0.605723	0.8452367438003421		false	0.54111	0.6781107224524021	
mdp-families-unsat_mem_1_rover-1000-big-family_1.yml	unsat	false	false	4.724346	4.9095888854935765		false	17.491988	17.61288180295378	
mdp-families-unsat_mem_1_rover-1000_1.yml	unsat	false	false	1.31408	1.494286279194057		false	0.7174	0.8705587675794959	
mdp-families-unsat_mem_1_uav-operator-roz-workload-big-family_1.yml	unsat	false	TIMEOUT	30000	30000		false	7.769932	7.895142929628491	
