tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			SMPMC	SMPMC	SMPMC	SMPMC	SMPMC	Paynt-AR	Paynt-AR	Paynt-AR	Paynt-AR	Paynt-AR	Paynt-CEGIS	Paynt-CEGIS	Paynt-CEGIS	Paynt-CEGIS	Paynt-CEGIS	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	Paynt-Hybrid	Paynt-Hybrid	Paynt-Hybrid	Paynt-Hybrid	Paynt-Hybrid
benchmarks/files/simple-q1/			status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
jair-sat_box-pushing-1fsc.yml	sat	true	true	2.896096	3.510009253397584	197.148672	166	true	2.570699	3.2140036802738905	164.507648	18	unknown	10.035115	11.037468664348125	159.813632		TIMEOUT	1800.835338	1801.57392980624	1849.126912		unknown	2.343974	2.8185610054060817	160.051200	
jair-sat_box-pushing-2fsc.yml	sat	true	true	908.493165	909.2322634439915	357.179392	28468	true	14.078949	14.695441405288875	929.251328	130	unknown	20.931846	21.900786017999053	252.174336		TIMEOUT	1800.708109	1801.4603960616514	1448.550400		unknown	6.939663	7.421572298742831	252.096512	
jair-sat_dpm.yml	sat	true	true	2.232343	2.8050888795405626	239.222784	44	true	1.230164	1.856256352737546	282.615808	7	true	6.8983	7.841397023759782	219.234304	1	TIMEOUT	1800.691941	1801.5778796244413	574.111744		true	1.852888	2.3230637097731233	374.964224	34
jair-sat_grid-10-sl-4fsc.yml	sat	true	true	1.636259	2.253262761980295	156.262400	20	TIMEOUT	1800.653412	1801.3135928204283	136.028160		true	3.309645	4.347175437025726	149.778432	117	TIMEOUT	1800.870045	1801.6761318156496	1457.446912		TIMEOUT	1800.649095	1801.2152553359047	161.533952	
jair-sat_grid-meet-sl-2fsc.yml	sat	true	true	13.858787	14.489822230301797	1005.801472	1060	true	856.552359	857.2369633922353	4342.996992	22224	true	942.956593	944.4505533343181	638.214144	3964	TIMEOUT	1801.074666	1801.9317742576823	4754.161664		TIMEOUT	1800.918648	1801.6864912854508	4564.484096	
jair-sat_grid.yml	sat	true	true	0.558757	1.1745911380276084	151.633920	211	true	1.215538	1.821525176987052	133.980160	2176	true	3.284772	4.309937224723399	147.202048	227	TIMEOUT	1801.086324	1801.8048158604652	3094.020096		true	3.259895	3.7552955001592636	158.556160	6853
jair-sat_grid3x3-1fsc.yml	sat	true	true	3.067592	3.659521432593465	209.313792	257	true	1.093228	1.69023475702852	216.948736	20	unknown	4.069301	5.05875997710973	149.569536		TIMEOUT	1801.025013	1801.7740728426725	2010.046464		unknown	0.626564	1.114422963000834	149.749760	
jair-sat_grid3x3-2fsc.yml	sat	true	true	24.506348	25.192446677945554	514.682880	427	true	7.038287	7.631521948613226	576.716800	52	unknown	15.496884	16.521853926591575	325.935104		TIMEOUT	1800.938366	1801.653625505045	2478.772224		unknown	2.175689	2.6402332223951817	324.976640	
jair-sat_herman.yml	sat	true	true	34.671115	35.312005897052586	1050.095616	19	true	33.275802	33.85550858359784	904.204288	3	true	117.261618	118.31522588897496	903.450624	39	TIMEOUT	1801.124275	1801.8818254172802	5411.631104		TIMEOUT	1801.315112	1802.0048406701535	7566.151680	
jair-sat_maze-sl-5.yml	sat	true	TIMEOUT	1800.667143	1801.644810333848	198.025216		TIMEOUT	1800.635946	1801.256220601499	134.008832		TIMEOUT	1800.710792	1802.3603373132646	205.504512		TIMEOUT	1800.678064	1801.3633711114526	224.112640		TIMEOUT	1800.660238	1801.157741298899	139.997184	
jair-sat_maze.yml	sat	true	true	0.54674	1.1625813953578472	151.232512	57	TIMEOUT	1800.616271	1801.2110416004434	134.017024		true	20.160059	21.175128291361034	147.120128	4300	TIMEOUT	1800.659087	1801.3647959148511	178.237440		TIMEOUT	1800.662567	1801.1588186686859	139.948032	
jair-sat_pole-res.yml	sat	true	true	0.566808	1.1628286195918918	168.980480	25	true	0.672719	1.2211122047156096	182.976512	12	unknown	3.140595	4.100400418974459	133.668864		TIMEOUT	1800.810597	1801.5863584624603	1002.356736		unknown	0.380683	0.8528470899909735	133.832704	
jair-sat_pole.yml	sat	true	true	1.379682	2.05373209528625	178.139136	189	true	0.758975	1.3069095937535167	209.686528	12	unknown	3.580004	4.56411116104573	136.810496		TIMEOUT	1800.665809	1801.4815849801525	343.003136		unknown	0.443932	0.9150967709720135	136.658944	
jair-sat_recycling-2fsc.yml	sat	true	true	0.459342	1.0529625164344907	151.740416	32	true	0.416446	0.960201351903379	133.988352	9	unknown	2.929502	3.879382610321045	133.910528		OUT OF MEMORY	58.222819	66.93438680283725	16000.000000		unknown	0.36615	0.8232289291918278	134.012928	
jair-sat_recycling-3fsc.yml	sat	true	true	0.545301	1.1354092489928007	153.329664	51	true	0.447246	0.9715971807017922	133.857280	12	unknown	2.851082	3.772533729672432	134.045696		TIMEOUT	1800.742583	1801.6211231797934	496.332800		unknown	0.365153	0.8226468302309513	133.808128	
jair-sat_refuel-06-res.yml	sat	true	true	1.232359	1.86254957690835	153.702400	582	true	0.466593	0.9901880733668804	134.569984	11	TIMEOUT	1800.612273	1802.2636841908097	206.340096		OUT OF MEMORY	216.347372	222.20343028847128	16000.000000		true	0.662388	1.1402305467054248	157.773824	54
pomdps-sat_mem_1_4x3-95_1.yml	sat	true	true	0.516227	1.173283793963492	135.114752	256	true	0.348972	0.8635668754577637	105.443328	7	unknown	2.63871	3.411893936805427	103.239680		TIMEOUT	1801.322802	1801.9892993187532	11090.898944		unknown	0.348641	0.8135860851034522	103.288832	
pomdps-sat_mem_1_4x5x2-95_1.yml	sat	true	true	0.392381	0.9870231132954359	135.770112	2	true	0.363858	0.8731993800029159	105.496576	6	unknown	2.618856	3.3971764761954546	103.157760		true	3.324535	3.857449653558433	223.338496		unknown	0.328543	0.7872346770018339	103.305216	
pomdps-sat_mem_1_drone-4-1_1.yml	sat	true	TIMEOUT	1801.151706	1802.3108568154275	4033.519616		true	2.942734	3.440784342586994	146.403328	728	TIMEOUT	1800.687984	1802.3137955944985	208.613376		TIMEOUT	1800.738929	1801.4976809564978	301.383680		TIMEOUT	1800.622613	1801.2627568626776	219.811840	
pomdps-sat_mem_1_drone-4-2_1.yml	sat	true	TIMEOUT	1800.94034	1802.3125819647685	2885.746688		true	0.485897	0.9847321389243007	132.288512	20	TIMEOUT	1800.674122	1802.5607417412102	253.255680		TIMEOUT	1800.669217	1801.328967884183	218.128384		TIMEOUT	1800.660032	1801.2539644613862	190.861312	
pomdps-sat_mem_1_drone-8-2_1.yml	sat	true	TIMEOUT	1800.891331	1801.6888083480299	2639.740928		true	11.351514	11.813891870900989	287.952896	77	TIMEOUT	1800.694604	1802.3897830387577	301.891584		TIMEOUT	1800.839861	1801.4929997939616	972.791808		TIMEOUT	1800.672804	1801.2568635391071	319.393792	
pomdps-sat_mem_1_grid-avoid-4-0.1_1.yml	sat	true	true	0.418758	1.056783557869494	150.454272	3	true	0.361317	0.8246119190007448	132.038656	2	true	2.847931	3.8991865776479244	145.862656	1	true	0.442472	1.0186875201761723	151.973888		true	0.399871	0.8701035808771849	146.866176	6
pomdps-sat_mem_1_hallway_1.yml	sat	true	true	6.107265	6.751491978764534	230.285312	179	true	77.167632	77.64574439264834	732.356608	1247	unknown	5.061901	6.011020700447261	163.176448		TIMEOUT	1800.894768	1801.5315917078406	1292.943360		unknown	0.70216	1.190792040899396	163.221504	
pomdps-sat_mem_1_maze-alex_1.yml	sat	true	true	0.524599	1.138129754923284	150.458368	46	TIMEOUT	1800.648628	1801.1613228963688	131.952640		true	3.657616	4.5493979984894395	146.411520	622	unknown	480.55663	481.1314251385629	151.371776		TIMEOUT	1800.666975	1801.1630320940167	139.132928	
pomdps-sat_mem_1_milos-aaai97_1.yml	sat	true	true	5.91182	6.115317327901721	138.055680	7413	true	0.579371	0.7320787208154798	107.253760	521	unknown	2.116396	2.6949661131948233	103.276544		OUT OF MEMORY	71.637289	82.02691651135683	16000.000000		unknown	0.364458	0.5452391179278493	103.051264	
pomdps-sat_mem_1_network_1.yml	sat	true	true	0.362176	0.5860224897041917	135.503872	19	true	0.411764	0.5627910206094384	105.594880	8	unknown	1.693327	2.1031468883156776	103.133184		true	1.142503	1.2756167277693748	138.899456		unknown	0.359946	0.5392260821536183	102.916096	
pomdps-sat_mem_1_nrp-8_1.yml	sat	true	true	0.419334	0.6784536270424724	150.368256	2	true	0.383386	0.5386629998683929	132.055040	8	true	2.375473	2.978201385587454	146.038784	1	TIMEOUT	1800.877769	1801.1146498052403	3384.279040		true	0.339952	0.516773690469563	146.878464	44
pomdps-sat_mem_1_query-s2_1.yml	sat	true	true	0.364997	0.6152642564848065	134.934528	2	true	0.326516	0.4669358702376485	105.463808	8	unknown	1.878524	2.4388731718063354	103.215104		true	51.052405	51.2032951740548	171.462656		unknown	0.306653	0.47577270958572626	102.957056	
pomdps-sat_mem_1_query-s3_1.yml	sat	true	true	0.495695	0.7298731096088886	137.617408	7	true	0.466854	0.6161559280008078	105.914368	11	unknown	2.118951	2.6546873208135366	103.567360		TIMEOUT	1800.714912	1800.927838823758	192.753664		unknown	0.322181	0.5093793887645006	103.567360	
pomdps-sat_mem_1_refuel-06_1.yml	sat	true	true	3.946526	4.168359800241888	160.206848	5012	true	0.448766	0.5979808401316404	132.415488	403	TIMEOUT	1800.691154	1801.6673086145893	191.598592		OUT OF MEMORY	69.889439	81.25144841056317	16000.000000		true	0.704217	0.8425151975825429	147.914752	1167
pomdps-sat_mem_1_refuel-20_1.yml	sat	true	true	13.257697	13.552148480899632	193.523712	2396	TIMEOUT	1800.652333	1800.9809069195762	714.330112		true	14.735592	15.274640694260597	161.599488	801	TIMEOUT	1800.72475	1801.0408485662192	475.271168		TIMEOUT	1800.709522	1800.9684434933588	279.592960	
pomdps-sat_mem_1_rocks-12_1.yml	sat	true	TIMEOUT	1800.961115	1801.7483832156286	2692.464640		true	1.041574	1.180699449032545	181.620736	37	TIMEOUT	1800.447529	1802.0763037363067	230.760448		TIMEOUT	1800.780441	1801.1881096065044	1187.893248		TIMEOUT	1800.699371	1801.0660037714988	226.078720	
pomdps-sat_mem_2_4x3-95_2.yml	sat	true	true	9.681313	9.889019095338881	146.067456	14358	true	0.314196	0.42164698522537947	105.418752	20	unknown	1.956739	2.53951577283442	103.276544		OUT OF MEMORY	343.741219	346.15425727237016	16000.000000		unknown	0.322037	0.45177077502012253	103.276544	
