tool	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set	SMPMC	SMPMC	SMPMC	SMPMC	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)
../../benchmarks/files/benchmark-general/	status	cputime (s)	walltime (s)	memUsage	status	cputime (s)	walltime (s)	memUsage
benchmark-general-sat_mem_1_catch-5.yml	TIMEOUT	1800.62416	1801.6808325378224		OUT OF MEMORY	356.383594	359.62650745920837	
benchmark-general-sat_mem_1_dpm-switch-q10-big-family.yml	TIMEOUT	1800.704801	1802.249029044062		OUT OF MEMORY	958.639908	958.7215202488005	
benchmark-general-sat_mem_1_dpm-switch-q10.yml	TIMEOUT	1800.61665	1804.1290442869067		OUT OF MEMORY	429.204779	432.39981601107866	
benchmark-general-sat_mem_1_obstacles-10-6-skip-easy-big-family.yml	true	2.321655	3.1922449190169573		TIMEOUT	1800.979734	1801.4137134542689	
benchmark-general-sat_mem_1_obstacles-10-6-skip-easy.yml	true	4.52565	5.4392745196819305		TIMEOUT	1800.808665	1801.3860374437645	
benchmark-general-sat_mem_1_obstacles-demo.yml	true	65.254535	66.02914554160088		TIMEOUT	1800.637978	1801.3734687278047	
benchmark-general-sat_mem_1_pacman-6.yml	true	11.247805	12.100795703940094		OUT OF MEMORY	680.305387	680.0788457412273	
benchmark-general-sat_mem_1_rocks-4-2.yml	true	4.230712	5.024047330953181		TIMEOUT	1800.736674	1801.3708230974153	
benchmark-general-sat_mem_1_rocks-6-4-big-family.yml	true	164.371278	165.19548257812858		OUT OF MEMORY	282.285409	284.22102671768516	
benchmark-general-sat_mem_1_rocks-6-4-signal.yml	true	402.199072	403.0528411846608		OUT OF MEMORY	295.90875	298.4972820924595	
benchmark-general-sat_mem_1_rocks-6-4.yml	true	89.181348	89.94387673679739		OUT OF MEMORY	257.011578	259.9666575482115	
benchmark-general-sat_mem_1_rocks-8-1.yml	true	4.947062	5.742299770005047		TIMEOUT	1800.680868	1801.3346373084933	
benchmark-general-sat_mem_1_rover-100-big-big-family.yml	true	1.06595	1.8771725613623857		OUT OF MEMORY	455.922188	458.5359506569803	
benchmark-general-sat_mem_1_rover-100-big.yml	true	0.98042	1.776114477775991		TIMEOUT	1800.923282	1801.2840160802007	
benchmark-general-sat_mem_1_rover-1000-big-family.yml	true	5.635759	6.393512839451432		TIMEOUT	1800.755439	1801.277484478429	
benchmark-general-sat_mem_1_rover-1000.yml	true	2.149408	2.835754171013832		TIMEOUT	1800.722255	1801.2816426223144	
