tool	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set	PAYNT-CEGIS.Benchmarks	PAYNT-CEGIS.Benchmarks	PAYNT-CEGIS.Benchmarks	PAYNT-CEGIS.Benchmarks	PAYNT-CEGIS.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks
benchmarks/files/benchmark-q2-tree/	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
benchmark-q2-tree-sat_drone-4-1_1.yml	false	0.887562	1.6471066670492291	147.824640	4	false	0.713088	1.5330032957717776	155.865088	5	TIMEOUT	1800.605214	1801.5694503514096	441.638912	
benchmark-q2-tree-sat_drone-4-1_11.yml	TIMEOUT	1800.611465	1801.4195035519078	267.599872		TIMEOUT	1800.780862	1801.662955533713	2694.656000		TIMEOUT	1800.615798	1801.5668352255598	459.304960	
benchmark-q2-tree-sat_drone-4-1_13.yml	TIMEOUT	1800.600122	1801.4223648095503	326.811648		TIMEOUT	1800.75241	1801.8295065741986	2785.046528		TIMEOUT	1800.615544	1801.5466462168843	477.556736	
benchmark-q2-tree-sat_drone-4-1_15.yml	TIMEOUT	1800.615119	1801.428228918463	327.720960		TIMEOUT	1800.739118	1802.649136774242	2735.468544		TIMEOUT	1800.620235	1801.5519096180797	491.208704	
benchmark-q2-tree-sat_drone-4-1_3.yml	false	4.12542	4.878886749967933	152.444928	92	false	14.009026	14.868809778243303	169.861120	2221	TIMEOUT	1800.601365	1801.5453803632408	303.726592	
benchmark-q2-tree-sat_drone-4-1_5.yml	false	428.627345	429.4231781605631	185.155584	2588	false	421.932384	422.722626847215	652.947456	68355	TIMEOUT	1800.616873	1801.5143590541556	473.751552	
benchmark-q2-tree-sat_drone-4-1_7.yml	TIMEOUT	1800.604449	1801.3974997131154	249.032704		TIMEOUT	1800.67636	1801.493983832188	1346.170880		TIMEOUT	1800.615921	1801.4375160830095	377.978880	
benchmark-q2-tree-sat_drone-4-1_9.yml	TIMEOUT	1800.608747	1801.3756968053058	246.759424		TIMEOUT	1800.71087	1801.8290607687086	3467.698176		TIMEOUT	1800.617958	1801.549008690752	468.176896	
benchmark-q2-tree-sat_drone-4-2_1.yml	false	1.134147	1.8350370768457651	148.570112	4	false	0.932324	1.6904087411239743	156.844032	5	TIMEOUT	1800.615628	1801.5120874010026	473.006080	
benchmark-q2-tree-sat_drone-4-2_11.yml	TIMEOUT	1800.617686	1801.3757146811113	370.569216		TIMEOUT	1800.49548	1802.85487070214	4132.225024		TIMEOUT	1800.625699	1801.493339410983	598.052864	
benchmark-q2-tree-sat_drone-4-2_13.yml	TIMEOUT	1800.621333	1801.3597155148163	425.885696		TIMEOUT	1800.799707	1801.6992320036516	2786.590720		TIMEOUT	1800.62501	1801.526933924295	632.020992	
benchmark-q2-tree-sat_drone-4-2_15.yml	TIMEOUT	1800.622872	1801.357250340283	447.975424		TIMEOUT	1800.36978	1803.5874640801921	3872.731136		TIMEOUT	1800.639825	1801.522179974243	743.243776	
benchmark-q2-tree-sat_drone-4-2_3.yml	false	13.160861	13.832729177549481	188.194816	112	false	611.191242	611.9975033998489	1603.559424	111811	TIMEOUT	1800.608138	1801.3969642622396	344.535040	
benchmark-q2-tree-sat_drone-4-2_5.yml	TIMEOUT	1800.612839	1801.316135905683	252.170240		TIMEOUT	1800.783582	1801.664524779655	3659.894784		TIMEOUT	1800.617222	1801.4651847425848	398.417920	
benchmark-q2-tree-sat_drone-4-2_7.yml	TIMEOUT	1800.613108	1801.3377464516088	307.826688		TIMEOUT	1800.774667	1802.0268092490733	5507.158016		TIMEOUT	1800.625103	1801.474337792024	479.715328	
benchmark-q2-tree-sat_drone-4-2_9.yml	TIMEOUT	1800.620432	1801.3000806001946	355.094528		TIMEOUT	1800.69094	1801.8352713072672	3414.417408		TIMEOUT	1800.662439	1801.4022431168705	553.517056	
benchmark-q2-tree-sat_drone-8-2_1.yml	false	3.764658	4.385964890010655	197.115904	4	false	3.462622	4.255678868852556	219.185152	5	TIMEOUT	1800.703299	1801.4167570890859	929.046528	
benchmark-q2-tree-sat_drone-8-2_11.yml	TIMEOUT	1800.689151	1801.377460242249	1328.844800		TIMEOUT	1800.655425	1801.4637534432113	1902.407680		TIMEOUT	1800.696997	1801.449551494792	960.147456	
benchmark-q2-tree-sat_drone-8-2_13.yml	TIMEOUT	1800.659687	1801.3103652866557	995.250176		TIMEOUT	1800.677034	1801.5254245614633	1558.773760		TIMEOUT	1800.699981	1801.4395721256733	977.276928	
benchmark-q2-tree-sat_drone-8-2_15.yml	TIMEOUT	1800.666182	1801.3202039422467	1095.294976		TIMEOUT	1800.701331	1801.4933559335768	2152.951808		TIMEOUT	1800.701113	1801.4489365974441	1113.796608	
benchmark-q2-tree-sat_drone-8-2_3.yml	false	119.955684	120.56606001127511	411.291648	160	TIMEOUT	1800.664683	1801.465348718688	978.853888		TIMEOUT	1800.709225	1801.417429311201	995.762176	
