tool	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set	PAYNT-CEGIS.Benchmarks	PAYNT-CEGIS.Benchmarks	PAYNT-CEGIS.Benchmarks	PAYNT-CEGIS.Benchmarks	PAYNT-CEGIS.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks
benchmarks/files/benchmark-q2-tree/	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
benchmark-q2-tree-sat_drone-4-1_1.yml	false	0.887562	1.6471066670492291	147.824640	4	false	0.713088	1.5330032957717776	155.865088	5	TIMEOUT	1800.605214	1801.5694503514096	441.638912	
benchmark-q2-tree-sat_drone-4-1_3.yml	false	4.12542	4.878886749967933	152.444928	92	false	14.009026	14.868809778243303	169.861120	2221	TIMEOUT	1800.601365	1801.5453803632408	303.726592	
benchmark-q2-tree-sat_drone-4-1_5.yml	false	428.627345	429.4231781605631	185.155584	2588	false	421.932384	422.722626847215	652.947456	68355	TIMEOUT	1800.616873	1801.5143590541556	473.751552	
benchmark-q2-tree-sat_drone-4-2_1.yml	false	1.134147	1.8350370768457651	148.570112	4	false	0.932324	1.6904087411239743	156.844032	5	TIMEOUT	1800.615628	1801.5120874010026	473.006080	
benchmark-q2-tree-sat_drone-4-2_3.yml	false	13.160861	13.832729177549481	188.194816	112	false	611.191242	611.9975033998489	1603.559424	111811	TIMEOUT	1800.608138	1801.3969642622396	344.535040	
benchmark-q2-tree-sat_drone-8-2_1.yml	false	3.764658	4.385964890010655	197.115904	4	false	3.462622	4.255678868852556	219.185152	5	TIMEOUT	1800.703299	1801.4167570890859	929.046528	
benchmark-q2-tree-sat_drone-8-2_3.yml	false	119.955684	120.56606001127511	411.291648	160	TIMEOUT	1800.664683	1801.465348718688	978.853888		TIMEOUT	1800.709225	1801.417429311201	995.762176	
benchmark-q2-tree-sat_maze-alex_13.yml	true	0.928812	1.0744810290634632	146.362368	25	true	1.261866	1.5722329188138247	185.192448	390	TIMEOUT	1800.615925	1800.8394536459818	163.778560	
benchmark-q2-tree-sat_maze-alex_5.yml	false	2.094388	2.2573269605636597	146.599936	357	false	0.642734	0.833485527895391	155.144192	162	TIMEOUT	1800.605011	1801.1127204727381	162.390016	
benchmark-q2-tree-sat_rocks-12_1.yml	false	6.734942	6.873159281909466	205.287424		false	5.198704	5.405969797633588	215.572480	1	TIMEOUT	1800.661789	1801.235999263823	843.567104	
benchmark-q2-tree-sat_rocks-12_11.yml	true	386.22017	386.4024334847927	791.212032	7	true	828.721065	829.0806528804824	1214.787584	4644	TIMEOUT	1800.657024	1801.1773208612576	856.530944	
benchmark-q2-tree-sat_rocks-12_13.yml	true	425.486232	425.65808826405555	818.307072	2	true	1702.917865	1703.3561537666246	1834.700800	13417	TIMEOUT	1800.648462	1801.1923292763531	996.298752	
benchmark-q2-tree-sat_rocks-12_15.yml	true	1055.969185	1056.1644213898107	999.960576	1	true	1337.175678	1337.5538107315078	1300.119552	3261	TIMEOUT	1800.659288	1801.1499228440225	993.206272	
benchmark-q2-tree-sat_rocks-12_3.yml	false	7.063632	7.194188685156405	227.340288		false	8.677674	8.8711865413934	262.565888	1	TIMEOUT	1800.665409	1800.8792340569198	844.349440	
benchmark-q2-tree-sat_rocks-12_5.yml	true	26.257976	26.396334945224226	358.948864	3	true	81.315824	81.6373849734664	442.986496	135	TIMEOUT	1800.667298	1800.890164163895	848.453632	
benchmark-q2-tree-sat_rocks-12_7.yml	true	54.696961	54.8588793836534	439.336960	4	true	302.621933	302.9994394555688	629.276672	3967	TIMEOUT	1800.669004	1800.8657315541059	852.439040	
benchmark-q2-tree-sat_rocks-12_9.yml	true	163.644981	163.79382270760834	827.174912	3	true	495.843454	496.2176546789706	1035.825152	3146	TIMEOUT	1800.666846	1800.8860164768994	852.180992	
