tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMPMC	SMPMC	SMPMC	SMPMC	SMPMC	PAYNT-AR	PAYNT-AR	PAYNT-AR	PAYNT-AR	PAYNT-AR	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-Hybrid
benchmarks/files/simple-q1/			status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
pomdps-sat_mem_1_4x5x2-95_1.yml	sat	true	unknown	0.360444	0.9890741882845759	103.284736		true	1.298016	2.018528330139816	147.349504		true	0.463257	1.260676878504455	140.570624	2	true	0.440836	1.0621975744143128	105.246720	6	unknown	0.392355	0.979739498347044	103.165952	
pomdps-sat_mem_1_drone-4-1_1.yml	sat	true	TIMEOUT	1800.597036	1801.4521032543853	252.534784		TIMEOUT	1800.620672	1801.2990081841126	292.745216		TIMEOUT	1800.752675	1801.5885535478592	5157.806080		true	3.552188	4.169476009905338	146.546688	728	TIMEOUT	1800.614296	1801.2542455615476	219.615232	
pomdps-sat_mem_1_drone-4-2_1.yml	sat	true	TIMEOUT	1800.600563	1801.5128040229902	349.896704		TIMEOUT	1800.61811	1801.345977912657	326.336512		TIMEOUT	1800.618842	1801.5401248466223	3631.742976		true	0.609953	1.2280063414946198	132.313088	20	TIMEOUT	1800.5988	1801.2979127550498	194.101248	
pomdps-sat_mem_1_drone-8-2_1.yml	sat	true	TIMEOUT	1800.590432	1801.5684600984678	329.621504		TIMEOUT	1800.666225	1801.433683191426	923.963392		TIMEOUT	1800.717603	1801.5759363370016	3957.239808		true	13.424156	13.999315019696951	290.762752	77	TIMEOUT	1800.593765	1801.3154927175492	317.415424	
pomdps-sat_mem_1_grid-avoid-4-0.1_1.yml	sat	true	true	0.403205	1.020805955864489	146.010112	1	true	0.521195	1.1973293013870716	156.839936		true	0.485532	1.2290695002302527	154.329088	3	true	0.499125	1.0853345077484846	132.009984	2	true	0.431094	0.9995737466961145	146.780160	6
pomdps-sat_mem_1_hallway_1.yml	sat	true	unknown	0.901217	1.5336416522040963	161.996800		TIMEOUT	1800.726606	1801.5580580485985	2850.398208		true	7.133948	7.893274796195328	235.257856	179	true	90.209165	90.80510936304927	729.903104	1247	unknown	0.883732	1.4737504683434963	163.115008	
pomdps-sat_mem_1_maze-alex_1.yml	sat	true	true	1.059474	1.6554932342842221	146.268160	622	true	27.661802	28.356060777790844	157.024256		true	0.548736	1.2902667233720422	155.283456	46	TIMEOUT	1800.602691	1801.2101806271821	131.735552		TIMEOUT	1800.607987	1801.1898773349822	139.083776	
pomdps-sat_mem_1_milos-aaai97_1.yml	sat	true	unknown	0.474392	1.0644351253286004	103.100416		TIMEOUT	1800.625874	1801.348285684362	309.174272		true	6.836104	7.5797139862552285	141.213696	7413	true	0.769823	1.3444872871041298	107.163648	521	unknown	0.393054	0.9401223482564092	103.243776	
pomdps-sat_mem_1_network_1.yml	sat	true	unknown	0.361296	0.5962068811058998	102.952960		false	0.650796	0.8361755236983299	140.607488		true	0.452159	0.7197050750255585	140.632064	19	true	0.480304	0.6435007154941559	105.390080	8	unknown	0.465119	0.7394996844232082	102.952960	
pomdps-sat_mem_1_nrp-8_1.yml	sat	true	true	0.393722	0.6348115028813481	146.104320	1	true	0.67126	0.8868944486603141	157.106176		true	0.462401	0.7800402482971549	154.857472	2	true	0.499412	0.6684467541053891	132.026368	8	true	0.497485	0.7672346541658044	146.968576	44
pomdps-sat_mem_1_query-s2_1.yml	sat	true	unknown	0.401639	0.6475447472184896	102.883328		true	238.927355	239.11296406853944	149.172224		true	0.481696	0.7942538363859057	140.546048	2	true	0.432505	0.6051805345341563	105.414656	8	unknown	0.360118	0.6243270235136151	102.952960	
pomdps-sat_mem_1_query-s3_1.yml	sat	true	unknown	0.465689	0.7320390399545431	103.448576		TIMEOUT	1800.624249	1800.8606699761003	257.613824		true	0.539317	0.8688143491744995	141.361152	7	true	0.586344	0.7706326190382242	105.869312	11	unknown	0.426085	0.6986707989126444	103.411712	
pomdps-sat_mem_1_refuel-06_1.yml	sat	true	true	347.522925	347.7761548580602	189.808640	35446	true	99.013751	99.22266206517816	228.818944		true	4.536985	4.862026843242347	164.139008	5012	true	0.623596	0.7797523643821478	132.419584	403	true	0.988591	1.2505341321229935	147.902464	1167
pomdps-sat_mem_1_refuel-20_1.yml	sat	true	true	7.765071	7.976834996603429	161.558528	801	TIMEOUT	1800.724674	1801.03715964593	2024.579072		true	16.027927	16.365523986518383	197.218304	2396	TIMEOUT	1800.614266	1800.876926236786	719.884288		TIMEOUT	1800.618655	1800.9370737243444	298.119168	
pomdps-sat_mem_1_rocks-12_1.yml	sat	true	TIMEOUT	1800.603757	1801.0551628889516	270.823424		TIMEOUT	1800.650872	1800.962764693424	791.453696		TIMEOUT	1800.924205	1801.3734825421125	6145.847296		true	1.326517	1.4938096767291427	181.788672	37	TIMEOUT	1800.630039	1800.970952806063	407.224320	
pomdps-sat_mem_2_4x3-95_2.yml	sat	true	unknown	0.405441	0.6183829260990024	103.452672		TIMEOUT	1800.61682	1800.846304219216	144.670720		true	10.705207	11.012232230976224	149.155840	14358	true	0.359659	0.5273200161755085	105.492480	20	unknown	0.36724	0.5229805270209908	103.297024	
pomdps-sat_mem_2_4x5x2-95_2.yml	sat	true	unknown	0.420341	0.6401880932971835	103.452672		true	11.891959	12.083750787191093	188.805120		true	0.76683	1.0479490784928203	140.083200	524	true	0.432071	0.6023766836151481	105.562112	15	unknown	0.336636	0.5066333068534732	103.464960	
pomdps-sat_mem_2_grid-avoid-4-0.1_2.yml	sat	true	true	0.419993	0.6565767033025622	146.382848	21	true	0.710167	0.9024883266538382	157.560832		true	0.459756	0.7135171657428145	155.045888	14	true	0.388593	0.5523734176531434	132.091904	7	true	0.396285	0.5488763079047203	147.009536	38
pomdps-sat_mem_2_maze-alex_2.yml	sat	true	true	262.145929	262.30861646775156	188.911616	24389	TIMEOUT	1800.615435	1800.806876075454	164.282368		true	1.19109	1.413619683124125	154.644480	831	TIMEOUT	1800.614247	1800.7770688822493	131.850240		TIMEOUT	1800.60852	1800.8664484284818	139.169792	
pomdps-sat_mem_2_milos-aaai97_2.yml	sat	true	unknown	0.378448	0.5259076617658138	104.058880		TIMEOUT	1800.611631	1800.8290559547022	473.346048		true	0.956239	1.1534018702805042	141.221888	390	TIMEOUT	1800.622173	1800.8205886147916	219.553792		unknown	0.377108	0.508301904425025	104.087552	
pomdps-sat_mem_2_network_2.yml	sat	true	unknown	0.418111	0.5457332544028759	102.879232		true	306.544746	306.87394004687667	148.971520		true	0.887413	1.1233626892790198	140.562432	743	true	0.450404	0.5983356796205044	105.267200	33	unknown	0.435099	0.5972242746502161	102.809600	
pomdps-sat_mem_2_nrp-8_2.yml	sat	true	true	0.477609	0.6430442510172725	146.124800	1	true	5.649644	6.15570283960551	167.845888		true	0.448169	0.7218700591474771	155.197440	2	true	0.506214	0.7033782126381993	132.046848	22	TIMEOUT	1800.617609	1800.8482122058049	148.529152	
