tool	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMPMC	SMPMC	SMPMC	SMPMC	SMPMC	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS
benchmarks/files/benchmark-q2-tree/	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
benchmark-q2-tree-sat_drone-4-1.yml	TIMEOUT	1800.610533	1800.9667745418847	331.747328		TIMEOUT	1800.612101	1801.6360799493268	2157.793280	5	TIMEOUT	1800.623016	1800.9002205990255	298.737664	2684
benchmark-q2-tree-sat_drone-4-2.yml	TIMEOUT	1800.612287	1800.9770948523656	447.709184		TIMEOUT	1800.228115	1808.3938047634438	3212.447744	5	TIMEOUT	1800.625032	1800.8994222786278	281.567232	116
benchmark-q2-tree-sat_drone-8-2.yml	TIMEOUT	1800.694181	1800.9453571503982	8009.768960		TIMEOUT	1800.624424	1800.9737461870536	1133.318144	5	TIMEOUT	1800.640638	1800.9271315447986	668.930048	164
benchmark-q2-tree-sat_grid-avoid-4-0.1.yml	true	0.475078	0.8459067502990365	187.105280		true	0.440566	0.853831771761179	186.806272	2	true	0.32305	0.5779348341748118	151.830528	1
benchmark-q2-tree-sat_hallway.yml	TIMEOUT	1756.966234	1831.0021563824266	199.307264		TIMEOUT	1758.552478	1830.0605630818754	199.012352		TIMEOUT	1758.459001	1830.116551921703	192.663552	
benchmark-q2-tree-sat_maze-alex.yml	true	95.378996	95.77578610926867	187.793408		true	1.735476	2.14842661190778	186.023936	5	true	6.9574	7.232122247107327	153.563136	1355
benchmark-q2-tree-sat_nrp-8.yml	true	0.529083	0.8855214845389128	187.240448		true	0.455054	0.8549980036914349	186.224640	2	true	0.339699	0.5919473897665739	151.756800	2
benchmark-q2-tree-sat_refuel-06.yml	true	168.732532	169.17220702581108	217.350144		true	46.390154	46.854222484864295	247.889920	1	true	208.833866	209.1347458930686	170.041344	1413
benchmark-q2-tree-sat_refuel-20.yml	TIMEOUT	1800.74866	1801.0082935588434	2377.687040		true	1016.143409	1018.065047760494	1044.824064	1	true	3.403659	3.6731993490830064	174.264320	34
benchmark-q2-tree-sat_rocks-12.yml	true	407.997674	408.3565682480112	1186.156544		true	54.459281	54.902716658078134	442.843136	1	true	26.842485	27.10966700129211	365.428736	3
