tool	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set	SMPMC	SMPMC	SMPMC	SMPMC	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS
../../benchmarks/files/benchmark-q2-tree/	status	cputime (s)	walltime (s)	memUsage	status	cputime (s)	walltime (s)	memUsage
benchmark-q2-tree-sat_drone-4-1.yml	TIMEOUT	1800.612101	1801.6360799493268		TIMEOUT	1800.623016	1800.9002205990255	
benchmark-q2-tree-sat_drone-4-2.yml	TIMEOUT	1800.228115	1808.3938047634438		TIMEOUT	1800.625032	1800.8994222786278	
benchmark-q2-tree-sat_drone-8-2.yml	TIMEOUT	1800.624424	1800.9737461870536		TIMEOUT	1800.640638	1800.9271315447986	
benchmark-q2-tree-sat_grid-avoid-4-0.1.yml	true	0.440566	0.853831771761179		true	0.32305	0.5779348341748118	
benchmark-q2-tree-sat_hallway.yml	TIMEOUT	1758.552478	1830.0605630818754		TIMEOUT	1758.459001	1830.116551921703	
benchmark-q2-tree-sat_maze-alex.yml	true	1.735476	2.14842661190778		true	6.9574	7.232122247107327	
benchmark-q2-tree-sat_nrp-8.yml	true	0.455054	0.8549980036914349		true	0.339699	0.5919473897665739	
benchmark-q2-tree-sat_refuel-06.yml	true	46.390154	46.854222484864295		true	208.833866	209.1347458930686	
benchmark-q2-tree-sat_refuel-20.yml	true	1016.143409	1018.065047760494		true	3.403659	3.6731993490830064	
benchmark-q2-tree-sat_rocks-12.yml	true	54.459281	54.902716658078134		true	26.842485	27.10966700129211	
