tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			PAYNT-AR	PAYNT-AR	PAYNT-AR	PAYNT-AR	PAYNT-AR	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMPMC	SMPMC	SMPMC	SMPMC	SMPMC	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-Hybrid
benchmarks/files/simple-q1/			status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
jair-sat_box-pushing-1fsc.yml	sat	true	true	3.11095	3.8865181701257825	164.384768	18	unknown	3.119758	3.8967238031327724	160.780288		TIMEOUT	1800.657825	1801.5618777358904	1225.498624		true	3.454465	4.227404857985675	201.306112	166	unknown	3.152307	3.8962027495726943	160.231424	
jair-sat_box-pushing-2fsc.yml	sat	true	true	16.140968	16.925806812010705	930.385920	130	unknown	10.094396	10.874669529497623	251.932672		TIMEOUT	1800.785641	1801.7041669012979	4882.563072		true	510.156381	510.96891645155847	361.615360	28468	unknown	8.42414	9.1776261953637	253.046784	
jair-sat_dpm.yml	sat	true	true	138.561311	139.34105553850532	11669.364736	6	true	49.072441	49.834802395664155	7643.009024	1	TIMEOUT	1801.267123	1802.185427392833	12179.439616		true	48.039099	48.8840210698545	7862.165504	2	OUT OF MEMORY	375.33643	376.36550658755004	15995.830272	
jair-sat_grid-10-sl-4fsc.yml	sat	true	TIMEOUT	1800.596006	1801.3897155765444	135.933952		true	0.72466	1.484761444851756	149.835776	117	TIMEOUT	1800.675151	1801.6288873907179	1222.266880		true	0.654711	1.4973631612956524	160.165888	20	TIMEOUT	1800.600907	1801.3911513499916	158.928896	
jair-sat_grid-meet-sl-2fsc.yml	sat	true	true	746.90958	747.6814997447655	4338.978816	22224	true	40.685015	41.424744967371225	639.266816	3964	TIMEOUT	1800.92357	1801.8759450251237	11146.448896		true	14.000717	14.850814525038004	1007.685632	1060	TIMEOUT	1800.767452	1801.5925379125401	7443.398656	
jair-sat_grid.yml	sat	true	true	1.525096	2.2736414298415184	133.570560	2176	true	0.687128	1.4433599198237062	147.030016	227	true	953.015484	953.8877785401419	224.645120		true	0.615125	1.4344395697116852	156.266496	211	true	3.605695	4.33659889921546	158.597120	6799
jair-sat_grid3x3-1fsc.yml	sat	true	true	1.20578	1.9417758220806718	216.993792	20	unknown	0.776654	1.500057470984757	149.729280		TIMEOUT	1800.725368	1801.569280152209	2154.700800		true	3.551524	4.341164290904999	211.705856	257	unknown	0.795166	1.5365058202296495	149.614592	
jair-sat_grid3x3-2fsc.yml	sat	true	true	7.929421	8.659086382947862	578.703360	52	unknown	2.5442	3.269163548015058	324.751360		TIMEOUT	1800.652697	1801.5337995374575	1486.331904		true	27.819231	28.596661125309765	508.911616	427	unknown	2.612254	3.3321368834003806	325.861376	
jair-sat_herman.yml	sat	true	true	37.196281	37.91562357544899	903.221248	3	true	42.370143	43.0704738991335	904.212480	39	TIMEOUT	1800.84394	1801.6863372437656	7226.077184		true	39.363094	40.13509365264326	1055.088640	19	true	1238.871718	1239.6387999765575	10093.654016	49768
jair-sat_maze-sl-5.yml	sat	true	TIMEOUT	1800.598403	1801.3365532150492	133.816320		TIMEOUT	1800.613199	1801.41962155886	230.420480		TIMEOUT	1800.602873	1801.425075164996	226.402304		TIMEOUT	1800.59807	1801.4468162702397	434.708480		TIMEOUT	1800.600412	1801.3709882320836	140.083200	
jair-sat_maze.yml	sat	true	TIMEOUT	1800.598684	1801.3243488259614	133.619712		true	14.234013	14.924005968496203	147.079168	4300	TIMEOUT	1800.609686	1801.4793486678973	180.248576		true	0.560767	1.3483715457841754	156.069888	57	TIMEOUT	1800.604844	1801.3326703170314	139.595776	
jair-sat_pole-res.yml	sat	true	true	0.774496	1.4471580740064383	183.062528	12	unknown	0.476101	1.1610242202877998	133.373952		TIMEOUT	1800.638412	1801.535337973386	651.587584		true	0.662488	1.3988099405542016	172.310528	25	unknown	0.530671	1.2053474700078368	133.443584	
jair-sat_pole.yml	sat	true	true	0.971644	1.6435429910197854	209.727488	12	unknown	0.631846	1.2993346694856882	136.609792		TIMEOUT	1800.650489	1801.4890495855361	891.064320		true	1.721409	2.444889518432319	180.969472	189	unknown	0.50739	1.1811807733029127	136.728576	
jair-sat_recycling-2fsc.yml	sat	true	true	0.451282	1.129497779533267	133.705728	9	unknown	0.442771	1.1168990079313517	133.787648		TIMEOUT	1800.61191	1801.484777931124	248.655872		true	0.510657	1.1231040470302105	156.340224	32	unknown	0.428842	1.0907889250665903	133.672960	
jair-sat_recycling-3fsc.yml	sat	true	true	0.527041	1.1830266593024135	133.754880	12	unknown	0.559403	1.2131686694920063	133.853184		TIMEOUT	1800.634632	1801.4523991476744	572.063744		true	0.61126	1.3210388850420713	157.425664	51	unknown	0.553971	1.2127749286592007	133.799936	
jair-sat_refuel-06-res.yml	sat	true	true	0.563518	1.2105440720915794	134.410240	11	TIMEOUT	1800.61046	1801.463079141453	233.512960		TIMEOUT	1800.606494	1801.3256959700957	240.967680		true	1.427416	2.0373146580532193	157.261824	582	true	0.714566	1.3725292617455125	157.503488	54
jair-sat_tiny_rewards.yml	sat	true	true	0.393964	1.0357917482033372	133.455872	1	unknown	0.407018	1.0366678647696972	133.574656		true	0.504401	1.158029313199222	157.147136		true	0.453538	1.0666582938283682	155.832320	1	unknown	0.414778	1.0294941049069166	133.586944	
