tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			PAYNT-AR	PAYNT-AR	PAYNT-AR	PAYNT-AR	PAYNT-AR	SMPMC	SMPMC	SMPMC	SMPMC	SMPMC	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-Hybrid
benchmarks/files/simple-q1/			status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
jair-sat_box-pushing-1fsc.yml	sat	true	true	3.107111	3.8791746608912945	164.659200	18	true	3.306854	4.127568029798567	201.338880	166	TIMEOUT	1800.657528	1801.6173243243247	1205.723136		unknown	2.887031	3.6388576673343778	160.432128		unknown	2.964216	3.733185882680118	160.595968	
jair-sat_box-pushing-2fsc.yml	sat	true	true	15.414889	16.160451146773994	930.340864	130	true	484.607695	485.53108499292284	360.538112	28468	TIMEOUT	1800.808838	1801.6856436301023	4881.612800		unknown	10.189935	10.949389467947185	252.108800		unknown	8.139906	8.913052221760154	251.944960	
jair-sat_dpm.yml	sat	true	true	151.892148	152.65519796591252	11669.495808	6	true	45.757805	46.63993705343455	7863.586816	2	TIMEOUT	1801.268184	1802.1940790107474	12179.296256		true	48.752125	49.53220271039754	7643.000832	1	OUT OF MEMORY	397.835267	399.2792884055525	15997.919232	
jair-sat_grid-10-sl-4fsc.yml	sat	true	TIMEOUT	1800.598903	1801.38519094605	135.966720		true	0.712408	1.5874749822542071	160.292864	20	TIMEOUT	1800.69911	1801.5791743984446	1220.325376		true	0.758222	1.5233561526983976	149.606400	117	TIMEOUT	1800.600228	1801.4158054301515	161.533952	
jair-sat_grid-meet-sl-2fsc.yml	sat	true	true	758.452704	759.2418535016477	4341.420032	22224	true	13.966497	14.840443029999733	1007.153152	1060	TIMEOUT	1800.946222	1801.8256459385157	11142.320128		true	40.065463	40.81941514555365	639.836160	3964	TIMEOUT	1800.84657	1801.672357244417	6793.023488	
jair-sat_grid3x3-1fsc.yml	sat	true	true	1.172126	1.899506458081305	216.993792	20	true	3.581118	4.3808782529085875	210.976768	257	TIMEOUT	1800.752194	1801.6494233598933	2152.935424		unknown	0.717529	1.4563059080392122	149.692416		unknown	0.70682	1.4572539906948805	149.590016	
jair-sat_grid3x3-2fsc.yml	sat	true	true	7.953941	8.682281812652946	576.466944	52	true	27.695262	28.60138955898583	509.005824	427	TIMEOUT	1800.659349	1801.6134539255872	1486.479360		unknown	2.358566	3.0875897565856576	325.812224		unknown	2.500744	3.2132145585492253	325.865472	
jair-sat_herman.yml	sat	true	true	35.776419	36.48455909732729	904.093696	3	true	44.291828	45.089351838454604	1055.662080	19	TIMEOUT	1800.864232	1801.7340419050306	7216.545792		true	36.415329	37.12586439680308	903.114752	39	true	1213.611986	1214.3828436313197	9686.044672	48145
jair-sat_maze.yml	sat	true	TIMEOUT	1800.599042	1801.3409209335223	133.783552		true	0.561671	1.3422750355675817	156.110848	57	TIMEOUT	1800.61265	1801.4794744504616	180.514816		true	14.363594	15.01791722420603	147.087360	4300	TIMEOUT	1800.601663	1801.361400410533	139.694080	
jair-sat_pole-res.yml	sat	true	true	0.758504	1.4460805905982852	183.083008	12	true	0.695696	1.4983769468963146	172.285952	25	TIMEOUT	1800.662918	1801.529418790713	654.295040		unknown	0.589875	1.285554314032197	133.382144		unknown	0.56384	1.2503636572510004	133.701632	
jair-sat_pole.yml	sat	true	true	0.98821	1.6577004166319966	209.707008	12	true	1.680638	2.4352288134396076	180.961280	189	TIMEOUT	1800.681951	1801.5315603204072	892.891136		unknown	0.598802	1.2882971270009875	136.581120		unknown	0.61908	1.2965167062357068	136.474624	
