   BENCHMARK INFORMATION
benchmark definition:    comparison_simple.xml
name:                    comparison_simple
run sets:                SMPMC, PAYNT-AR, PAYNT-CEGIS, PAYNT-Hybrid, SMT(LRA)
date:                    Tue, 2025-07-29 21:15:45 UTC
tool:                    synthesis
tool executable:         /home/lheck/.local/share/virtualenvs/molehill-U9ijTdgT/bin/python3
options:
parallel runs:           26
resource limits:
- memory:                16000.0 MB
- time:                  1800 s
hardware requirements:
- memory:                16000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    localhost
os:                      Linux-6.1.0-23-amd64-x86_64-with-glibc2.36
cpu:                     AMD Ryzen Threadripper PRO 5965WX 24-Cores
- cores:                 48
- max frequency:         3800.0 MHz
- turbo boost enabled:   False
ram:                     540660.658176 MB
------------------------------------------------------------



SMPMC
Run set 1 of 5 with options '-m molehill --ce none' and propertyfile 'None'

inputfile                                    status                       cpu time   wall time        host
pomdps-unsat_mem_1_grid-avoid-4-0.1_1.yml    false                            0.43        0.62        None
pomdps-unsat_mem_1_hallway_1.yml             TIMEOUT                       1800.62     1800.90        None
pomdps-unsat_mem_1_maze-alex_1.yml           false                            1.32        1.53        None
pomdps-unsat_mem_1_milos-aaai97_1.yml        false                            9.79        9.99        None
pomdps-unsat_mem_1_network_1.yml             false                            0.59        0.80        None
pomdps-unsat_mem_1_nrp-8_1.yml               false                            0.62        0.82        None
pomdps-unsat_mem_1_query-s2_1.yml            false                            0.59        0.79        None
pomdps-unsat_mem_1_query-s3_1.yml            false                            1.51        1.69        None
pomdps-unsat_mem_1_refuel-06_1.yml           false                            3.62        3.79        None
pomdps-unsat_mem_1_refuel-20_1.yml           TIMEOUT                       1800.72     1801.11        None
pomdps-unsat_mem_1_rocks-12_1.yml            TIMEOUT                       1800.66     1800.96        None
pomdps-unsat_mem_2_4x3-95_2.yml              false                           16.16       16.35        None
pomdps-unsat_mem_2_4x5x2-95_2.yml            false                            7.92        8.12        None
pomdps-unsat_mem_2_grid-avoid-4-0.1_2.yml    false                            0.44        0.71        None
pomdps-unsat_mem_2_maze-alex_2.yml           false                            5.52        5.73        None
pomdps-unsat_mem_2_milos-aaai97_2.yml        false                           14.12       14.33        None
pomdps-unsat_mem_2_network_2.yml             false                            1.46        1.66        None
pomdps-unsat_mem_2_nrp-8_2.yml               false                          406.09      406.32        None
pomdps-unsat_mem_2_query-s2_2.yml            false                            1.81        2.01        None
pomdps-unsat_mem_2_query-s3_2.yml            false                          234.35      234.56        None
pomdps-unsat_mem_2_refuel-06_2.yml           TIMEOUT                       1800.99     1801.26        None
pomdps-unsat_mem_3_4x3-95_3.yml              false                          709.45      709.75        None
pomdps-unsat_mem_3_4x5x2-95_3.yml            false                          288.07      288.29        None
pomdps-unsat_mem_3_grid-avoid-4-0.1_3.yml    false                            1.30        1.50        None
pomdps-unsat_mem_3_maze-alex_3.yml           false                            0.58        0.78        None
pomdps-unsat_mem_3_network_3.yml             false                          299.90      300.10        None
pomdps-unsat_mem_3_query-s2_3.yml            false                          193.16      193.37        None
pomdps-unsat_mem_3_query-s3_3.yml            false                          218.15      218.35        None
pomdps-unsat_mem_3_refuel-06_3.yml           TIMEOUT                       1800.81     1801.16        None
pomdps-unsat_mem_4_4x3-95_4.yml              TIMEOUT                       1800.71     1800.97        None
pomdps-unsat_mem_4_grid-avoid-4-0.1_4.yml    false                            7.83        8.03        None
----------------------------------------------------------------------------------------------------------
Run set 1                                    done                         38303.82     2158.34           -


PAYNT-AR
Run set 2 of 5 with options 'build/paynt/paynt.py --method ar' and propertyfile 'None'

inputfile                                    status                       cpu time   wall time        host
----------------------------------------------------------------------------------------------------------
jair-sat_box-pushing-1fsc.yml                true                             3.11        3.88        None
jair-sat_box-pushing-2fsc.yml                true                            15.41       16.16        None
jair-sat_dpm.yml                             true                           151.89      152.66        None
jair-sat_grid-10-sl-4fsc.yml                 TIMEOUT                       1800.60     1801.39        None
jair-sat_grid-meet-sl-2fsc.yml               true                           758.45      759.24        None
jair-sat_grid.yml                            true                             1.51        2.26        None
jair-sat_grid3x3-1fsc.yml                    true                             1.17        1.90        None
jair-sat_grid3x3-2fsc.yml                    true                             7.95        8.68        None
jair-sat_herman.yml                          true                            35.78       36.48        None
jair-sat_maze-sl-5.yml                       TIMEOUT                       1800.60     1801.32        None
jair-sat_maze.yml                            TIMEOUT                       1800.60     1801.34        None
jair-sat_pole-res.yml                        true                             0.76        1.45        None
jair-sat_pole.yml                            true                             0.99        1.66        None
jair-sat_recycling-2fsc.yml                  true                             0.44        1.12        None
jair-sat_recycling-3fsc.yml                  true                             0.51        1.16        None
jair-sat_refuel-06-res.yml                   true                             0.55        1.21        None
jair-sat_tiny_rewards.yml                    true                             0.49        1.14        None
pomdps-sat_mem_1_4x3-95_1.yml                true                             0.43        1.01        None
pomdps-sat_mem_1_4x5x2-95_1.yml              true                             0.39        0.98        None
pomdps-sat_mem_1_drone-4-1_1.yml             true                             3.56        4.14        None
