 120 	
   1 cputime (s)	cputime (s)
   1 symbiotic 9.0.0-dev-b34dd3a1	VeriFuzz 1.2.11
   1 symbiotic.SV-COMP23_termination.Termination-Other	verifuzz.SV-COMP23_termination.Termination-Other
   1 0.284688409	1.569748424
   1 0.302480789	1.596296155
   1 0.307354792	1.599149906
   1 0.307442895	1.594093353
   1 0.308317094	1.67224432
   1 0.310361621	1.526297438
   1 0.311066391	1.719084907
   1 0.312158933	1.627274234
   1 0.313159617	2.207899378
   1 0.315318424	2.201808857
   1 0.316021442	2.269546562
   1 0.316827247	1.697957792
   1 0.317098056	1.620203267
   1 0.317193876	1.760910513
   1 0.317237796	1.571565726
   1 0.317878934	2.243426002
   1 0.318631404	2.318133731
   1 0.318698497	2.352446061
   1 0.31880445	2.093130587
   1 0.31902356	2.085292677
   1 0.321580361	1.452679318
   1 0.321621978	1.584383453
   1 0.321682821	2.701248004
   1 0.32197081	1.604520874
   1 0.3231042	1.570152437
   1 0.323486175	1.662801735
   1 0.323776363	1.725924208
   1 0.324638378	2.371360582
   1 0.324823677	2.541297055
   1 0.324922695	2.119245957
   1 0.326675698	1.624027255
   1 0.326917234	1.922706176
   1 0.327207468	1.586431532
   1 0.327603158	2.487466459
   1 0.327680703	1.48285538
   1 0.328195429	2.215152241
   1 0.328259698	1.570285375
   1 0.328953508	1.634485465
   1 0.329656773	1.539751083
   1 0.329811387	1.570205601
   1 0.330847918	1.60685871
   1 0.330906775	1.682749567
   1 0.331090274	2.219352084
   1 0.331399523	1.669257233
   1 0.331429895	1.719172219
   1 0.331640536	2.312024314
   1 0.332761132	1.45781182
   1 0.332947747	2.140157249
   1 0.333013572	2.189885798
   1 0.333035361	2.357986921
   1 0.333555896	1.633629518
   1 0.334132328	1.531205825
   1 0.334515557	2.394204242
   1 0.33467683	1.600336416
   1 0.334898102	1.453011054
   1 0.335109854	2.387905632
   1 0.337157824	2.214791409
   1 0.337243101	2.187090474
   1 0.337533202	1.65615511
   1 0.338503648	2.311572083
   1 0.339128751	1.341261439
   1 0.33961258	1.487095906
   1 0.339822774	2.013922736
   1 0.340094332	2.415416575
   1 0.340621618	2.488062458
   1 0.340843797	1.697966975
   1 0.341174263	2.567650555
   1 0.341847439	2.105880832
   1 0.343634181	1.448497656
   1 0.34377936	1.65705784
   1 0.344032572	1.674381049
   1 0.344104192	2.063164481
   1 0.344561911	2.183996309
   1 0.345971004	2.350247589
   1 0.346394091	2.137225692
   1 0.346493937	1.595148115
   1 0.347414738	2.363548774
   1 0.348316724	1.61719823
   1 0.348518127	2.226829516
   1 0.349477612	2.113780865
   1 0.350154709	2.323221764
   1 0.350349861	1.527037714
   1 0.350416977	2.552404406
   1 0.351737262	1.776216913
   1 0.352674232	1.604457358
   1 0.35318066	2.235156772
   1 0.353227955	2.67083375
   1 0.3537313	1.483812277
   1 0.353992829	1.838789604
   1 0.35459771	1.827723601
   1 0.354883136	1.708982125
   1 0.354995643	2.287358109
   1 0.356102993	1.751764508
   1 0.356158504	1.742002568
   1 0.356230616	1.48860915
   1 0.356483369	2.211335767
   1 0.35694034	1.602778444
   1 0.359543177	1.397668622
   1 0.363422149	2.399755966
   1 0.364347799	1.782146714
   1 0.365515933	1.888454836
   1 0.36562285	1.799568029
   1 0.366249999	1.793062137
   1 0.368278466	1.641467669
   1 0.369395536	1.666646033
   1 0.369437397	1.589614585
   1 0.372575481	1.768428055
   1 0.373605274	2.559639968
   1 0.374226447	1.61091525
   1 0.374588914	1.595478328
   1 0.376108219	1.708319523
   1 0.380400264	1.757007538
   1 0.380877355	1.611831085
   1 0.381853044	1.6803963
   1 0.3848711	2.391530965
   1 0.388328283	1.632953631
   1 0.388329799	2.364757793
   1 0.390494376	1.491863711
   1 0.394568828	1.839191686
   1 0.394992359	1.798822015
   1 0.398709517	1.784941149
   1 0.399650604	1.656544288
   1 0.40029085	1.640871609
   1 0.401832315	
   1 0.406711404	2.082804647
   1 0.41275663	2.100037372
   1 0.419855039	
   1 0.426860532	2.082533467
   1 0.427587797	2.45898884
   1 0.428626012	
   1 0.43028911	
   1 0.437446186	2.024836573
   1 0.438663615	2.011238434
   1 0.44302301	2.006586196
   1 0.448370346	2.517861964
   1 0.448942746	1.967841546
   1 0.451917115	1.997867165
   1 0.452533735	15.143320656
   1 0.455698819	15.356114471
   1 0.458462047	15.064948602
   1 0.460916276	15.158253368
   1 0.46173981	
   1 0.468757958	15.166681425
   1 0.470811862	
   1 0.473034157	
   1 0.474286912	
   1 0.480448672	20.110100347
   1 0.481595401	
   1 0.49772173	
   1 0.500684832	3.056571879
   1 0.502941076	
   1 0.505061921	
   1 0.510468937	15.093367303
   1 0.516876538	
   1 0.51931505	
   1 0.519493914	
   1 0.520406113	
   1 0.521933391	
   1 0.522790168	
   1 0.526004318	
   1 0.526507327	
   1 0.531365777	
   1 0.533196618	
   1 0.533750627	
   1 0.538321882	
   1 0.546247072	
   1 0.546571163	
   1 0.556022137	
   1 0.55603275	1.685745931
   1 0.558296321	
   1 0.562421998	
   1 0.572956903	
   1 0.572971679	
   1 0.57554562	
   1 0.579591454	
   1 0.5815839	
   1 0.586570149	
   1 0.587537755	
   1 0.588059508	
   1 0.588431326	
   1 0.58998865	
   1 0.596621372	
   1 0.598915953	
   1 0.5990897	
   1 0.599373107	55.726395453
   1 0.604133975	
   1 0.610202074	55.858637386
   1 0.610483069	154.197459248
   1 0.610887414	
   1 0.612002598	157.147241242
   1 0.612182507	
   1 0.612901184	
   1 0.613957858	
   1 0.6150897	57.024462706
   1 0.616811123	
   1 0.618117833	154.841780823
   1 0.618912736	155.869131277
