tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	SMPMC	SMPMC	SMPMC	SMPMC	SMPMC
benchmarks/files/benchmark-q2-cost/			status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
benchmark-q2-cost-sat_dpm.yml	sat	true	TIMEOUT	1800.619676	1800.9904584139585	1469.558784		true	3.556407	3.7922574458643794	225.300480	49	true	10.41507	10.718495861627162	247.468032	989
benchmark-q2-cost-sat_grid-10-sl-4fsc.yml	sat	true	TIMEOUT	1800.654363	1800.957085216418	950.493184		true	0.574	0.8121156422421336	155.545600	64	true	1.145852	1.4617057163268328	166.060032	185
benchmark-q2-cost-sat_grid-meet-sl-2fsc.yml	sat	true	TIMEOUT	1800.87414	1800.9882933199406	11144.003584		true	33.173224	33.429779884405434	643.719168	2568	true	19.306511	19.65482759475708	1022.234624	609
benchmark-q2-cost-sat_maze.yml	sat	true	TIMEOUT	1800.61455	1800.9604545412585	186.408960		true	136.699829	136.94587074778974	180.989952	18896	true	0.487478	0.7747380752116442	162.033664	49
benchmark-q2-cost-unsat_dpm.yml	unsat	false	TIMEOUT	1800.683833	1800.935173979029	1449.816064		false	5.499824	5.739928930066526	225.148928	20	false	8.328855	8.663994455710053	245.350400	967
benchmark-q2-cost-unsat_grid-10-sl-4fsc.yml	unsat	false	TIMEOUT	1800.669044	1800.9307246180251	968.441856		false	0.763859	0.9999660700559616	155.947008	97	false	1.450768	1.7377528781071305	166.031360	234
benchmark-q2-cost-unsat_grid-meet-sl-2fsc.yml	unsat	false	TIMEOUT	1800.870855	1800.9477651845664	11147.485184		false	47.683986	47.93137476127595	646.373376	1283	false	85.029065	85.31991715077311	1023.471616	2720
benchmark-q2-cost-unsat_maze.yml	unsat	false	TIMEOUT	1800.610975	1800.9411831321195	185.368576		TIMEOUT	1800.610682	1800.9396901438013	177.819648		false	1.49037	1.7774261208251119	161.763328	829
