tool	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set	PAYNT-CEGIS.Benchmarks	PAYNT-CEGIS.Benchmarks	PAYNT-CEGIS.Benchmarks	PAYNT-CEGIS.Benchmarks	PAYNT-CEGIS.Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks
benchmarks/files/benchmark-q2-tree/	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
benchmark-q2-tree-sat_grid-avoid-4-0.1_11.yml	true	0.440499	1.009624538011849	146.567168	3	true	0.758483	1.584314238280058	187.281408		true	0.601249	1.384315950796008	182.812672	2
benchmark-q2-tree-sat_grid-avoid-4-0.1_13.yml	true	0.568397	0.7175251999869943	146.432000	1	true	0.806697	1.1476951725780964	187.039744		true	0.716038	1.042249365709722	184.487936	2
benchmark-q2-tree-sat_grid-avoid-4-0.1_15.yml	true	0.511531	0.6435869131237268	146.403328	1	true	0.561281	0.8966712551191449	187.469824		true	0.552188	0.9211685201153159	185.061376	3
benchmark-q2-tree-sat_grid-avoid-4-0.1_3.yml	true	0.360701	0.5010141702368855	146.190336	1	true	0.560455	0.8957396000623703	186.564608		true	0.604062	1.001743427477777	186.200064	2
benchmark-q2-tree-sat_grid-avoid-4-0.1_5.yml	true	0.456992	0.6152229122817516	146.268160	1	true	0.757375	1.1190539114177227	188.887040		true	0.471003	0.7733621886000037	182.243328	2
benchmark-q2-tree-sat_grid-avoid-4-0.1_7.yml	true	0.495609	0.6686643371358514	146.284544	1	true	0.640571	0.9782762490212917	189.530112		true	0.455037	0.7383813820779324	184.410112	2
benchmark-q2-tree-sat_grid-avoid-4-0.1_9.yml	true	0.369247	0.5085759116336703	146.337792	2	true	0.629409	0.9594864882528782	184.389632		true	0.624655	0.9219403341412544	187.043840	2
benchmark-q2-tree-sat_maze-alex_1.yml	false	0.485373	0.652821478433907	146.276352	4	false	1.078635	1.2780735604465008	155.750400		false	0.605682	0.8182700145989656	154.894336	5
benchmark-q2-tree-sat_maze-alex_11.yml	true	14.302738	14.46003383025527	146.530304	1339	true	1034.345386	1034.7078408785164	196.542464		true	1.331403	1.6084477687254548	184.893440	377
benchmark-q2-tree-sat_maze-alex_13.yml	true	0.997668	1.1318797040730715	146.538496	25	true	1670.153126	1670.5031787464395	198.582272		true	1.218701	1.5427136402577162	185.483264	390
benchmark-q2-tree-sat_maze-alex_15.yml	true	11.741341	11.897054928354919	146.538496	597	true	1192.422362	1192.7350830184296	198.864896		true	1.920202	2.214413325302303	187.809792	410
benchmark-q2-tree-sat_maze-alex_3.yml	false	0.797819	0.9333291864022613	146.571264	51	false	310.196511	310.3953278688714	160.047104		false	0.4808	0.7052725674584508	155.025408	47
benchmark-q2-tree-sat_maze-alex_5.yml	false	3.404537	3.548486629500985	146.407424	357	TIMEOUT	1800.606338	1801.0146860508248	162.037760		false	0.911138	1.118188887834549	155.004928	162
benchmark-q2-tree-sat_maze-alex_7.yml	true	5.691937	5.84610945917666	146.632704	943	true	529.551723	530.033285071142	191.750144		true	1.259177	1.5909794587641954	184.684544	180
benchmark-q2-tree-sat_maze-alex_9.yml	true	15.365879	15.515118697658181	146.534400	1707	true	1036.680145	1037.2053820639849	194.510848		true	1.55792	1.8371749436482787	184.795136	613
benchmark-q2-tree-sat_nrp-8_1.yml	true	0.586627	0.7427762625738978	146.403328	2	true	0.783355	1.2955799149349332	186.425344		true	0.495338	0.7946474254131317	183.377920	2
benchmark-q2-tree-sat_nrp-8_11.yml	true	0.742994	0.894833923317492	146.399232	1	true	0.933038	1.4385727206245065	186.736640		true	0.801153	1.1476824600249529	186.408960	2
benchmark-q2-tree-sat_nrp-8_13.yml	true	0.98694	1.1435827799141407	146.403328	1	true	1.087274	1.8118785535916686	187.584512		true	0.807224	1.1630175402387977	185.159680	2
benchmark-q2-tree-sat_nrp-8_15.yml	true	1.054733	1.2134387493133545	146.407424	1	true	1.106831	1.850337654352188	188.891136		true	0.781083	1.093315207399428	186.376192	10
benchmark-q2-tree-sat_nrp-8_3.yml	true	0.467888	0.615776619873941	146.395136	1	true	0.870811	1.6605404382571578	184.086528		true	0.563149	0.8488411093130708	184.016896	2
benchmark-q2-tree-sat_nrp-8_5.yml	true	0.634645	0.7873079245910048	146.337792	1	true	0.810356	1.5226911110803485	186.355712		true	0.683044	1.0255522402003407	185.892864	2
benchmark-q2-tree-sat_nrp-8_7.yml	true	0.46781	0.6153421811759472	146.202624	1	true	0.946064	1.677574804984033	186.458112		true	0.556222	0.9421231402084231	186.458112	2
benchmark-q2-tree-sat_nrp-8_9.yml	true	0.741611	0.901860655285418	146.309120	1	true	0.894967	1.650132916867733	186.560512		true	0.888752	1.2378164492547512	184.705024	2
benchmark-q2-tree-sat_refuel-06_1.yml	false	0.623026	0.7810651222243905	146.042880		false	2.349199	3.010126596316695	168.656896		false	0.460496	0.6683803517371416	154.632192	1
benchmark-q2-tree-sat_refuel-06_11.yml	true	70.564537	70.72780174482614	150.573056	657	true	508.316674	509.03154534939677	298.803200		true	57.288442	57.623428869992495	226.250752	8496
benchmark-q2-tree-sat_refuel-06_13.yml	true	61.184009	61.34673065505922	153.886720	664	true	149.787841	150.5622879397124	293.388288		true	72.446175	72.79081624094397	241.795072	10814
benchmark-q2-tree-sat_refuel-06_15.yml	true	219.861037	220.01196655072272	159.592448	1409	true	339.839113	340.53017640765756	305.098752		true	51.395376	51.681607755832374	231.579648	10581
benchmark-q2-tree-sat_refuel-06_3.yml	false	0.527861	0.6461665639653802	146.829312	6	false	3.657259	4.130316197872162	186.036224		false	0.79205	1.0163796348497272	155.213824	9
benchmark-q2-tree-sat_refuel-06_5.yml	false	1.141376	1.270432303659618	146.837504	28	false	11.856308	12.329682395793498	204.861440		false	2.856059	3.0330439154058695	156.221440	671
